Player	ESPNRating
Mike Trout	86.9
Andrew McCutchen	81.5
Troy Tulowitzki	80.2
Giancarlo Stanton	73.6
Paul Godschmidt	73.5
Michael Brantley	73.1
Miguel Cabrera	64.5
Robinson Cano	63.8
