Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,4.52,,162,6263,5557,733,1442,272,39,172,98,30,537,1106,.259,.327,.415,.742,.293,2308,119,42,76,49,89,59
BAL,5.36,,162,6418,5559,868,1491,283,17,161,109,32,696,1087,.268,.354,.412,.766,.305,2291,133,72,41,50,37,44
BOS,4.06,,162,6071,5460,657,1350,295,20,151,107,32,482,1149,.247,.314,.392,.705,.286,2138,115,62,32,34,20,47
CHC,4.26,,162,6186,5452,690,1340,280,29,165,116,24,573,1211,.246,.322,.399,.721,.286,2173,117,59,68,33,46,53
CHW,5.18,,162,6293,5631,839,1556,297,36,174,98,23,499,1015,.276,.338,.435,.773,.307,2447,138,59,46,58,50,70
CIN,5.27,,162,6354,5689,853,1605,345,26,198,88,31,482,1068,.282,.343,.456,.800,.315,2596,130,73,61,49,47,53
CLE,4.35,,162,6206,5663,704,1519,306,22,146,93,46,410,1047,.268,.322,.407,.729,.304,2307,137,56,32,45,42,56
COL,4.65,,163,6293,5620,758,1497,298,45,164,96,25,504,967,.266,.330,.423,.753,.294,2377,154,59,60,50,61,44
DET,4.92,,162,6345,5624,797,1498,288,46,174,73,31,566,1047,.266,.338,.427,.765,.297,2400,125,68,35,49,41,64
HOU,5.02,,162,6417,5729,813,1566,345,37,206,84,28,510,1109,.273,.337,.454,.791,.305,2603,112,63,63,52,62,68
KCR,4.80,,162,6253,5592,778,1547,380,30,168,70,26,520,993,.277,.339,.445,.785,.307,2491,138,41,38,59,54,51
LAD,4.49,,162,6196,5528,727,1443,279,22,146,96,46,518,1184,.261,.326,.399,.725,.306,2204,142,38,70,42,34,64
MIL,4.79,,162,6285,5620,776,1513,321,26,161,99,24,507,1174,.269,.333,.422,.754,.312,2369,125,52,58,48,37,67
MIN,4.48,,162,6133,5588,725,1505,297,27,185,65,41,420,1094,.269,.324,.431,.755,.304,2411,128,51,34,40,33,50
NYM,4.63,,162,6293,5558,750,1415,296,33,165,105,29,570,1134,.255,.329,.409,.737,.291,2272,110,61,66,38,40,55
NYY,4.80,,162,6308,5586,777,1498,327,27,150,136,44,578,1009,.268,.340,.417,.757,.301,2329,151,60,31,51,33,54
OAK,4.68,,162,6247,5574,758,1468,282,45,138,101,26,530,1036,.263,.329,.404,.733,.298,2254,135,43,40,60,60,54
PHI,5.07,,162,6385,5642,821,1555,345,26,198,84,39,558,1050,.276,.346,.451,.797,.306,2546,136,72,66,47,62,59
PIT,5.22,,162,6374,5653,846,1627,337,21,174,110,35,518,997,.288,.352,.447,.799,.320,2528,163,76,66,60,55,48
SDP,4.09,,163,6254,5633,666,1406,270,38,119,189,20,474,1136,.250,.311,.374,.686,.291,2109,126,48,58,39,48,52
SEA,5.02,,162,6313,5606,813,1578,331,34,147,69,45,546,1020,.281,.349,.431,.780,.319,2418,140,62,47,50,39,48
SFG,4.44,,162,6299,5535,720,1442,320,41,133,77,33,593,1057,.261,.334,.405,.740,.298,2243,130,47,73,50,41,45
STL,5.12,,162,6283,5595,829,1514,319,38,168,58,34,509,945,.271,.336,.431,.768,.297,2413,131,73,53,53,25,85
TEX,5.21,,162,6389,5560,844,1525,314,25,155,98,47,668,976,.274,.356,.423,.780,.306,2354,143,70,38,51,38,73
TOR,4.31,,162,6108,5512,699,1383,252,24,157,134,24,479,1067,.251,.315,.391,.706,.283,2154,146,55,17,44,34,61
