Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,4.00,,162,6132,5553,648,1372,265,29,120,116,44,451,1245,.247,.304,.370,.674,.296,2055,114,19,71,38,64,81
BAL,5.54,,163,6460,5724,903,1604,284,27,209,135,37,597,1047,.280,.349,.449,.798,.308,2569,149,38,44,57,35,52
BOS,5.69,,162,6633,5762,921,1606,292,30,185,147,36,722,1165,.279,.360,.436,.796,.317,2513,125,50,32,67,41,84
CHC,4.76,,162,6268,5562,771,1447,284,34,184,129,50,546,1027,.260,.330,.423,.753,.288,2351,115,55,61,42,55,61
CHW,4.90,,162,6405,5669,794,1529,292,31,174,105,55,616,1039,.270,.343,.424,.767,.301,2405,122,36,41,42,60,60
CIN,4.77,,162,6277,5504,773,1447,280,41,167,146,50,591,1089,.263,.336,.420,.755,.297,2310,117,42,80,58,66,69
CLE,4.78,,161,6245,5636,769,1530,317,25,173,104,52,484,1033,.271,.331,.429,.760,.303,2416,132,39,39,46,42,66
COL,5.95,,162,6391,5596,964,1597,307,48,198,122,55,624,932,.285,.362,.464,.825,.310,2594,139,69,56,45,19,81
DET,6.81,,162,6713,5731,1103,1699,311,40,241,117,54,784,957,.296,.384,.491,.875,.317,2813,133,80,45,72,63,74
HOU,4.89,,162,6364,5623,792,1541,302,29,154,115,55,539,1163,.274,.342,.420,.762,.318,2363,109,70,80,51,60,88
KCR,4.88,,161,6251,5642,786,1563,297,42,176,69,42,460,926,.277,.335,.438,.773,.302,2472,155,56,42,51,32,67
LAD,4.02,,162,6223,5526,652,1378,230,19,125,171,39,534,1212,.249,.317,.366,.683,.296,2021,124,39,77,47,66,73
MIL,5.55,,162,6437,5638,899,1570,305,36,213,96,40,635,846,.278,.354,.459,.812,.292,2586,152,57,43,64,33,80
MIN,5.56,1,162,6355,5645,900,1561,340,30,233,84,42,581,959,.277,.346,.471,.817,.295,2660,116,41,41,47,27,53
NYM,4.81,,162,6288,5586,779,1517,240,31,159,125,33,532,999,.272,.337,.411,.748,.303,2296,130,44,78,48,73,89
NYY,4.86,,162,6289,5541,787,1469,296,22,143,120,42,610,1139,.265,.341,.404,.745,.308,2238,118,49,44,45,35,51
OAK,5.56,,162,6505,5700,900,1638,314,37,205,117,41,644,884,.287,.362,.463,.825,.307,2641,160,52,52,55,61,60
PHI,4.88,,162,6138,5479,790,1463,304,33,160,88,44,510,1044,.267,.331,.422,.753,.302,2313,118,35,68,45,49,74
PIT,5.14,,162,6338,5700,833,1602,298,39,183,185,57,479,1044,.281,.339,.443,.783,.314,2527,113,50,59,48,50,64
SDP,4.21,,162,6292,5629,682,1395,250,25,138,136,54,506,1194,.248,.313,.375,.687,.289,2109,116,45,65,47,47,75
SEA,5.56,,161,6351,5596,895,1562,309,24,216,78,42,605,1000,.279,.353,.459,.812,.304,2567,132,60,42,47,52,60
SFG,5.32,,162,6330,5566,862,1520,290,30,194,108,69,570,997,.273,.345,.441,.786,.300,2452,133,67,79,48,60,91
STL,4.36,,162,6184,5497,706,1380,235,23,173,104,54,539,1050,.251,.319,.397,.716,.279,2180,116,35,64,49,43,79
TEX,4.90,,163,6358,5645,799,1569,277,39,168,62,56,582,976,.278,.347,.430,.777,.308,2428,126,43,33,55,44,53
TOR,4.99,,162,6271,5544,809,1476,289,20,187,75,41,610,1033,.266,.340,.427,.767,.295,2366,157,36,31,48,37,68
