Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,3.97,,162,6089,5450,643,1363,228,22,153,102,50,499,1133,.250,.314,.384,.698,.287,2094,107,33,53,54,77,60
BAL,5.12,,162,6273,5598,829,1504,316,29,194,157,51,528,938,.269,.337,.439,.777,.291,2460,110,74,31,41,28,79
BOS,4.63,,161,6272,5551,745,1412,280,27,146,223,51,544,1259,.254,.329,.393,.722,.302,2184,101,93,39,45,50,74
CHC,4.33,,162,6159,5458,701,1357,276,25,164,106,46,550,1344,.249,.321,.398,.719,.299,2175,91,50,60,41,43,66
CHW,4.91,,162,6200,5508,795,1465,289,27,181,107,40,500,921,.266,.334,.427,.761,.288,2351,130,88,48,56,38,70
CIN,5.25,,162,6324,5641,850,1572,344,28,198,75,62,515,943,.279,.341,.455,.796,.302,2566,108,48,69,50,46,77
CLE,5.07,,162,6312,5591,821,1512,320,27,148,128,60,573,1218,.270,.341,.417,.757,.319,2330,115,49,48,50,44,55
COL,5.59,,162,6306,5541,906,1522,351,35,239,100,36,598,1058,.275,.350,.480,.830,.299,2660,135,64,60,43,71,54
DET,5.41,,162,6361,5629,876,1624,333,49,180,104,50,553,859,.289,.357,.461,.818,.311,2595,145,73,51,52,56,75
HOU,4.75,,162,6236,5574,769,1453,262,28,221,66,49,486,1228,.261,.325,.437,.762,.296,2434,113,70,62,44,22,72
KCR,5.30,,162,6289,5566,858,1537,261,39,209,105,45,576,911,.276,.348,.450,.797,.295,2503,180,61,33,51,26,68
LAD,4.59,,162,6201,5496,744,1387,268,26,184,82,51,524,1212,.252,.323,.411,.734,.291,2259,111,72,69,39,37,71
MIL,4.98,,162,6338,5477,806,1452,293,38,197,93,47,667,1057,.265,.350,.440,.791,.294,2412,126,72,81,40,107,56
MIN,4.73,,162,6187,5576,766,1494,302,33,192,73,43,445,965,.268,.325,.437,.763,.291,2438,93,56,55,55,16,57
NYM,4.40,,162,6107,5512,713,1418,266,33,186,131,40,438,1191,.257,.314,.419,.733,.294,2308,105,43,63,50,60,62
NYY,4.43,,161,6174,5570,713,1429,266,25,158,146,45,465,1266,.257,.318,.398,.716,.303,2219,105,55,37,47,29,68
OAK,3.98,,162,6115,5551,645,1384,223,22,153,124,55,440,1117,.249,.308,.380,.688,.285,2110,119,46,45,33,49,68
PHI,4.44,,162,6198,5479,719,1417,322,38,170,57,32,527,1086,.259,.329,.424,.753,.292,2325,120,70,73,49,60,52
PIT,5.30,,162,6222,5485,858,1493,310,36,167,97,37,549,908,.272,.344,.433,.777,.297,2376,141,80,58,50,74,75
SDP,5.01,,162,6278,5641,812,1519,294,34,219,94,52,476,1088,.269,.330,.450,.780,.297,2538,99,56,58,47,54,92
SEA,3.87,,162,6096,5490,627,1293,259,22,160,73,29,465,1051,.236,.301,.378,.679,.262,2076,115,64,33,44,28,57
SFG,4.62,,162,6294,5561,748,1437,286,43,145,86,45,579,1080,.258,.329,.404,.732,.294,2244,136,33,58,61,49,74
STL,4.22,,162,6121,5416,684,1389,296,23,196,51,37,526,1083,.256,.328,.428,.757,.286,2319,136,72,72,35,36,66
TEX,5.98,,162,6469,5706,968,1670,391,47,222,79,66,596,951,.293,.362,.494,.856,.314,2821,146,63,30,73,33,69
TOR,4.65,,162,6305,5649,753,1553,357,26,165,112,47,490,1041,.275,.339,.435,.774,.309,2457,159,76,47,43,60,59
