Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ATL,39,28.9,4.96,162,6339,5570,803,1503,304,37,178,767,86,32,587,1158,.270,.343,.434,.777,99,2415,123,59,75,48,51,1230
BAL,47,30.3,5.20,162,6431,5736,842,1614,319,18,169,803,101,41,528,949,.281,.345,.432,.776,103,2476,126,57,46,62,34,1216
BOS,50,30.6,5.86,162,6515,5720,949,1613,373,25,222,912,68,30,659,1189,.282,.360,.472,.832,110,2702,123,69,12,55,39,1257
CHC,43,30.1,4.87,162,6281,5628,789,1508,308,29,235,755,66,28,489,1080,.268,.328,.458,.786,99,2579,120,38,78,48,46,1121
CHW,42,28.6,5.34,162,6197,5534,865,1481,284,19,242,823,78,51,499,1030,.268,.333,.457,.790,102,2529,119,63,58,42,25,1031
CIN,44,28.4,4.63,162,6278,5518,750,1380,287,28,194,713,77,25,599,1335,.250,.331,.418,.749,95,2305,125,81,55,25,38,1176
CLE,52,28.6,5.30,162,6452,5676,858,1565,345,29,184,820,94,55,606,1009,.276,.351,.444,.795,111,2520,143,78,47,42,41,1197
COL,47,30.3,5.14,162,6333,5577,833,1531,331,34,202,795,44,33,568,1181,.275,.345,.455,.800,95,2536,132,54,97,37,51,1167
DET,39,28.2,5.10,162,6285,5623,827,1531,284,54,201,800,86,50,518,1144,.272,.337,.449,.786,108,2526,110,50,50,43,32,1116
HOU,42,31.8,4.96,162,6269,5468,803,1458,294,36,187,756,89,30,590,999,.267,.342,.436,.778,99,2385,128,61,98,52,54,1175
KCR,58,28.9,4.44,162,6153,5538,720,1432,261,29,150,675,67,48,461,1057,.259,.322,.397,.720,86,2201,130,76,40,38,28,1099
LAD,43,28.9,4.70,162,6244,5542,761,1450,226,30,203,731,102,41,536,1092,.262,.332,.423,.755,98,2345,121,62,69,35,45,1152
MIL,41,28.5,3.94,161,6195,5483,634,1358,295,32,135,601,138,40,540,1312,.248,.321,.387,.708,83,2122,120,68,56,40,49,1199
MIN,42,27.8,4.81,162,6286,5623,780,1494,310,24,191,735,116,46,513,982,.266,.332,.431,.763,96,2425,130,64,46,40,42,1110
NYM,52,29.8,4.22,162,6209,5532,684,1376,289,20,185,658,107,23,512,1159,.249,.317,.409,.726,88,2260,129,61,69,34,54,1142
NYY,43,32.3,5.54,162,6364,5527,897,1483,281,20,242,863,84,33,670,982,.268,.353,.458,.811,111,2530,157,80,37,50,40,1190
OAK,36,29.6,4.90,162,6459,5728,793,1545,336,15,189,752,47,22,608,1061,.270,.343,.433,.776,102,2478,142,55,25,43,40,1274
PHI,39,29.3,5.19,162,6456,5643,840,1505,303,23,215,802,100,27,645,1133,.267,.345,.443,.788,98,2499,123,58,64,46,60,1236
PIT,43,27.2,4.22,161,6115,5483,680,1428,267,39,142,648,63,40,415,1066,.260,.321,.401,.722,87,2199,117,95,79,42,33,1123
SDP,47,29.5,4.74,162,6313,5573,768,1521,304,32,139,722,52,25,566,910,.273,.342,.414,.756,104,2306,128,56,52,66,45,1235
SEA,48,31.5,4.31,162,6362,5722,698,1544,276,20,136,658,110,42,492,1058,.270,.331,.396,.727,91,2268,131,54,46,48,49,1241
SFG,43,31.5,5.25,162,6466,5546,850,1500,314,33,183,805,43,23,705,874,.270,.357,.438,.795,104,2429,142,72,92,51,153,1289
STL,37,30.6,5.28,162,6297,5555,855,1544,319,24,214,817,111,47,548,1085,.278,.344,.460,.804,107,2553,121,51,73,70,64,115
TEX,52,27.9,5.31,162,6256,5615,860,1492,323,34,227,825,69,36,500,1099,.266,.329,.457,.786,96,2564,91,61,23,57,41,1098
TOR,47,28.0,4.47,161,6178,5531,719,1438,290,34,145,680,58,31,513,1083,.260,.328,.403,.732,87,2231,139,71,20,42,25,1164
