Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,3.73,,162,6220,5541,605,1332,228,33,125,128,41,521,1332,.240,.310,.361,.671,.293,2001,110,53,65,39,73,49
BAL,5.31,,162,6332,5664,860,1568,354,27,210,83,42,535,1044,.277,.341,.460,.801,.305,2606,135,45,37,49,42,68
BOS,4.55,,162,6242,5529,737,1366,286,23,156,156,50,540,1213,.247,.322,.392,.714,.288,2166,100,90,40,43,11,49
CHC,4.67,,162,6262,5502,756,1439,289,29,162,112,46,580,1224,.262,.335,.413,.748,.307,2272,103,53,81,44,45,76
CHW,4.36,,162,6188,5613,706,1463,265,31,147,135,37,439,1220,.261,.317,.397,.714,.306,2231,113,44,41,50,50,39
CIN,4.44,,162,6259,5546,720,1414,279,27,185,81,44,539,1112,.255,.325,.415,.740,.286,2302,121,59,60,52,47,49
CLE,4.69,,162,6235,5628,760,1482,323,31,153,104,48,463,1024,.263,.323,.413,.737,.295,2326,105,60,35,49,34,64
COL,4.78,,162,6215,5551,774,1471,292,52,176,99,49,522,1118,.265,.331,.431,.763,.301,2395,131,48,51,41,47,48
DET,4.39,,162,6108,5478,711,1406,259,29,149,119,49,492,1115,.257,.321,.396,.717,.295,2170,120,52,36,50,34,55
HOU,4.91,,162,6268,5543,796,1477,294,31,188,131,31,560,1191,.266,.337,.432,.770,.307,2397,113,53,72,37,59,65
KCR,4.70,,162,6280,5563,762,1487,301,43,163,115,49,557,1080,.267,.337,.425,.762,.303,2363,117,58,51,51,42,51
LAD,3.80,,161,5997,5345,612,1287,263,19,132,116,40,507,1265,.241,.310,.371,.681,.290,1984,95,43,69,33,48,52
MIL,3.94,,162,6048,5481,638,1348,263,28,147,102,37,440,1257,.246,.304,.385,.689,.292,2108,112,33,57,35,16,73
MIN,4.96,,162,6210,5571,804,1564,291,43,161,96,44,480,940,.281,.340,.435,.775,.310,2424,128,54,43,62,37,63
NYM,4.58,,162,6316,5595,742,1482,302,36,147,121,33,514,1126,.265,.332,.411,.743,.306,2297,111,70,95,42,48,74
NYY,4.06,,162,6216,5561,657,1423,292,24,152,128,49,507,1222,.256,.322,.399,.721,.300,2219,114,58,36,54,43,66
OAK,4.19,,162,6159,5513,679,1380,245,26,136,119,47,519,1160,.250,.317,.378,.696,.292,2085,120,41,45,41,24,79
PHI,3.27,,162,6069,5502,529,1320,252,27,120,106,29,404,1299,.240,.296,.361,.657,.292,1986,122,47,83,33,41,44
PIT,4.40,,162,6317,5596,712,1513,275,22,152,123,40,535,1031,.270,.338,.409,.747,.305,2288,130,62,69,53,65,59
SDP,3.77,,162,6065,5408,611,1324,267,32,125,141,60,521,1139,.245,.314,.375,.689,.287,2030,117,37,68,30,56,48
SEA,4.17,,162,6014,5455,675,1369,253,24,145,110,46,436,1088,.251,.310,.386,.696,.287,2105,124,51,31,41,27,62
SFG,3.57,,162,6130,5420,578,1260,272,29,96,124,59,559,1316,.232,.309,.346,.655,.288,1878,100,50,71,28,46,57
STL,4.27,,162,6211,5608,692,1461,295,35,136,64,25,448,1098,.261,.319,.398,.717,.300,2234,144,46,73,36,44,76
TEX,4.18,,162,6021,5444,677,1327,259,18,170,85,46,461,1179,.244,.307,.392,.698,.280,2132,141,46,36,32,21,77
TOR,4.70,,162,6286,5591,761,1433,307,33,179,111,40,540,1169,.256,.328,.419,.747,.293,2343,124,77,34,44,28,63
