Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,4.12,,162,6218,5557,668,1475,250,17,154,91,29,523,1025,.265,.329,.400,.729,.299,2221,151,27,69,42,50,72
BAL,5.12,,162,6459,5634,830,1488,253,28,159,82,39,687,1090,.264,.348,.404,.752,.300,2274,137,62,36,40,43,69
BOS,4.74,,162,6222,5600,768,1430,318,31,159,123,31,447,1132,.255,.318,.408,.727,.292,2287,107,92,37,46,28,74
CHC,4.10,,162,6262,5517,665,1363,245,31,169,108,39,545,1346,.247,.321,.395,.716,.295,2177,104,76,78,44,33,55
CHW,5.13,,162,6189,5527,831,1505,276,24,224,90,48,527,1013,.272,.338,.453,.791,.295,2501,138,48,39,46,36,52
CIN,5.60,,162,6451,5694,907,1595,373,32,236,67,29,572,992,.280,.348,.481,.830,.301,2740,101,54,75,54,55,71
CLE,5.29,,162,6450,5727,857,1553,338,28,201,117,40,579,1115,.271,.342,.445,.787,.304,2550,118,62,39,43,47,63
COL,5.70,,162,6535,5629,923,1634,336,43,198,111,32,697,947,.290,.372,.471,.843,.316,2650,135,71,82,56,84,41
DET,5.21,,162,6296,5617,844,1542,291,37,190,71,41,530,995,.275,.340,.441,.781,.302,2477,144,54,52,43,33,70
HOU,4.31,,162,6201,5499,698,1416,283,35,174,101,39,525,1282,.258,.328,.417,.745,.305,2291,120,68,74,35,61,59
KCR,5.59,,162,6320,5648,905,1638,361,33,208,84,35,518,887,.290,.352,.476,.828,.310,2689,144,56,38,57,49,75
LAD,4.22,,162,6155,5453,684,1386,255,26,178,96,40,521,1066,.254,.323,.408,.732,.284,2227,129,54,88,39,47,30
MIL,4.70,,161,6204,5567,757,1440,325,31,164,89,29,476,1098,.259,.320,.417,.737,.293,2319,109,51,58,52,27,84
MIN,4.41,,162,6269,5702,715,1523,247,23,167,73,44,431,1123,.267,.323,.406,.729,.305,2317,132,54,46,35,27,49
NYM,4.51,,162,6333,5570,731,1452,288,24,156,100,39,592,977,.261,.335,.405,.740,.289,2256,122,49,77,44,70,91
NYY,4.99,,162,6240,5649,808,1532,304,28,182,90,32,445,1058,.271,.328,.432,.760,.302,2438,118,60,28,57,32,54
OAK,4.58,,162,6313,5604,742,1466,291,22,164,74,49,544,1034,.262,.332,.409,.741,.293,2293,145,68,54,43,49,63
PHI,4.82,,162,6308,5627,781,1488,318,36,214,103,26,502,1070,.264,.330,.448,.778,.291,2520,119,66,74,38,60,47
PIT,4.62,,161,6197,5429,744,1451,295,34,149,72,38,576,1079,.267,.342,.416,.758,.306,2261,160,63,80,48,64,57
SDP,4.35,,162,6135,5550,705,1460,308,36,184,69,25,422,1079,.263,.318,.431,.749,.295,2392,125,48,73,41,39,71
SEA,5.08,,162,6389,5650,823,1498,317,20,212,64,38,575,1036,.265,.338,.441,.779,.289,2491,117,72,43,48,32,60
SFG,4.75,,162,6321,5599,770,1481,310,47,161,72,24,548,1020,.265,.332,.423,.755,.295,2368,131,47,74,53,35,66
STL,4.07,,162,6104,5484,659,1378,285,19,169,53,29,440,1041,.251,.313,.403,.715,.280,2208,129,67,76,37,24,56
TEX,4.90,,162,6345,5616,794,1536,284,30,182,71,39,547,979,.274,.344,.432,.776,.301,2426,133,81,51,48,29,69
TOR,5.11,,161,6281,5517,823,1505,293,28,181,91,41,608,956,.273,.348,.434,.782,.298,2397,120,58,42,56,47,51
