Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,3.75,1,144,5410,4845,540,1184,224,17,107,132,37,436,1087,.244,.309,.364,.673,.292,1763,100,32,63,34,46,57
BAL,4.44,,144,5382,4755,640,1165,243,28,149,98,43,523,930,.245,.322,.402,.724,.274,1911,116,37,33,34,40,37
BOS,4.85,,144,5600,4999,698,1338,264,23,127,80,41,476,888,.268,.334,.406,.740,.300,2029,127,46,32,47,28,73
CHC,4.66,,144,5664,5009,671,1313,219,23,162,123,56,518,926,.262,.333,.412,.745,.291,2064,89,34,63,40,68,66
CHW,5.23,,145,5734,4991,758,1374,223,33,164,106,59,617,892,.275,.356,.432,.788,.304,2155,107,39,37,50,47,65
CIN,4.33,,144,5445,4890,623,1270,246,29,131,92,30,424,903,.260,.320,.402,.722,.292,1967,114,31,56,43,32,48
CLE,4.22,3,144,5512,4945,607,1261,266,18,135,117,38,445,926,.255,.320,.398,.718,.287,1968,120,45,32,44,16,54
COL,5.44,,144,5706,5042,783,1443,277,36,160,100,43,512,891,.286,.355,.451,.805,.319,2272,123,41,76,35,31,60
DET,5.86,,144,5774,5101,844,1509,300,32,170,102,38,536,729,.296,.365,.467,.832,.315,2383,125,45,42,50,79,53
HOU,4.68,,144,5703,5093,674,1357,237,43,118,120,49,460,1056,.266,.331,.399,.730,.313,2034,93,50,56,44,52,65
KCR,4.80,,144,5561,4938,691,1323,227,29,142,78,29,503,763,.268,.338,.412,.750,.290,2034,137,38,39,42,38,52
LAD,4.23,,144,5481,4888,609,1188,213,20,125,108,45,462,1060,.243,.311,.372,.683,.285,1816,91,37,59,33,45,78
MIL,5.19,3,144,5707,4961,747,1391,263,33,146,110,36,603,699,.280,.360,.435,.795,.298,2158,164,47,34,62,39,57
MIN,6.17,,144,5714,5052,889,1450,302,32,210,102,25,533,790,.287,.356,.484,.840,.302,2446,120,36,41,50,18,60
NYM,4.29,,144,5483,4944,618,1296,254,33,133,127,40,401,901,.262,.320,.408,.727,.294,2015,104,35,62,40,48,62
NYY,4.74,,145,5575,4936,688,1286,247,30,159,117,40,535,908,.261,.334,.419,.754,.289,2070,103,32,35,37,21,39
OAK,5.28,,144,5606,4901,761,1320,236,28,153,92,51,556,890,.269,.347,.423,.770,.299,2071,120,53,52,44,26,61
PHI,4.57,,144,5575,4878,658,1241,226,25,134,137,38,538,980,.254,.333,.393,.726,.291,1919,113,55,60,44,36,62
PIT,5.11,,144,5618,4967,736,1407,262,37,130,125,61,477,871,.283,.350,.429,.779,.318,2133,116,57,70,46,50,59
SDP,4.67,,144,5529,4865,672,1242,205,24,142,91,54,512,1047,.255,.331,.395,.726,.297,1921,103,51,72,28,37,64
SEA,4.88,,145,5743,5013,708,1343,279,40,149,87,46,591,1068,.268,.347,.429,.776,.310,2149,88,47,39,52,37,65
SFG,5.39,,144,5672,4981,776,1368,247,28,173,88,45,505,801,.275,.345,.440,.784,.294,2190,115,56,77,53,51,64
STL,4.60,1,143,5420,4817,658,1290,261,27,135,132,64,445,842,.268,.333,.417,.750,.298,2010,118,40,83,35,37,71
TEX,5.00,,144,5626,4986,720,1385,224,28,152,55,44,514,838,.278,.347,.425,.772,.305,2121,136,36,42,48,38,54
TOR,5.40,1,144,5773,4994,777,1336,257,33,145,98,50,654,894,.268,.356,.419,.775,.298,2094,102,51,36,37,42,49
