Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,3.96,,162,6208,5507,641,1399,295,49,119,97,46,530,1232,.254,.323,.390,.713,.305,2149,138,49,86,34,59,58
BAL,5.41,,162,6359,5676,876,1633,356,28,218,119,33,546,933,.288,.353,.476,.828,.309,2699,132,51,35,51,45,53
BOS,4.54,,162,6283,5594,736,1494,312,27,167,151,23,530,1230,.267,.335,.422,.757,.313,2361,96,68,43,48,24,46
CHC,4.17,,161,6177,5402,672,1329,233,34,160,89,43,586,1272,.246,.324,.391,.715,.291,2110,118,59,87,43,46,54
CHW,4.52,,162,6155,5513,732,1438,291,23,169,132,42,507,1119,.261,.325,.414,.739,.297,2282,131,41,46,47,41,68
CIN,4.46,,162,6253,5508,723,1420,273,23,188,79,47,577,1069,.258,.333,.418,.751,.287,2303,134,65,61,42,36,51
CLE,5.34,,162,6354,5612,865,1570,311,27,183,111,33,598,986,.280,.351,.443,.793,.308,2484,149,45,44,55,31,60
COL,4.41,,162,6171,5467,715,1427,271,47,141,115,27,528,1154,.261,.328,.405,.733,.304,2215,119,46,74,56,51,50
DET,4.57,,163,6240,5514,745,1449,271,31,182,88,50,594,1102,.263,.336,.422,.759,.296,2328,140,41,43,47,42,50
HOU,4.75,,162,6237,5522,770,1521,305,38,176,65,29,546,1144,.275,.344,.440,.784,.317,2430,142,50,74,45,56,50
KCR,5.20,,162,6265,5534,842,1486,273,38,166,114,39,600,1153,.269,.343,.422,.765,.310,2333,130,51,35,45,28,74
LAD,3.77,,162,6182,5428,611,1265,255,30,127,89,39,584,1272,.233,.312,.361,.673,.280,1961,110,57,75,38,68,46
MIL,5.05,,162,6352,5584,818,1498,332,32,207,82,21,607,1104,.268,.345,.450,.795,.299,2515,136,65,55,41,60,70
MIN,4.69,,163,6274,5663,765,1542,290,27,185,107,32,466,1052,.272,.331,.431,.762,.303,2441,114,58,38,49,20,37
NYM,4.67,,162,6284,5491,757,1452,311,28,158,66,34,616,1031,.264,.342,.418,.759,.297,2293,116,55,71,49,60,58
NYY,4.65,,162,6247,5523,753,1386,274,24,181,125,52,574,1260,.251,.327,.408,.734,.292,2251,110,71,28,49,28,55
OAK,4.70,,162,6243,5604,761,1486,305,28,156,92,38,523,1124,.265,.329,.413,.742,.304,2315,129,36,33,47,30,65
PHI,4.38,,162,6263,5591,709,1479,296,24,189,95,37,489,1153,.265,.329,.427,.757,.300,2390,107,75,60,46,31,43
PIT,4.77,,161,6144,5407,768,1491,349,47,152,107,43,563,919,.276,.346,.442,.788,.305,2390,138,47,73,53,37,39
SDP,4.75,,162,6273,5520,769,1422,250,33,167,100,42,603,1187,.258,.333,.406,.739,.298,2239,118,45,60,45,58,51
SEA,4.27,,162,6159,5496,692,1359,259,16,172,67,44,534,1043,.247,.316,.394,.710,.274,2166,128,43,33,51,13,68
SFG,3.77,,162,6103,5368,611,1268,243,33,140,107,42,584,1302,.236,.314,.372,.686,.284,1997,112,41,67,41,49,52
STL,3.95,,162,6087,5460,640,1407,274,30,123,44,28,460,1049,.258,.319,.386,.706,.296,2110,147,53,70,44,23,60
TEX,4.57,,162,6172,5508,740,1432,293,27,171,99,43,531,1016,.260,.331,.416,.747,.289,2292,136,70,28,35,14,58
TOR,4.76,,162,6281,5598,771,1509,323,26,181,89,46,551,1181,.270,.339,.434,.772,.310,2427,143,58,25,49,26,41
