Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ATL,40,27.9,4.48,144,5464,4814,645,1202,210,27,168,618,73,43,520,933,.250,.326,.409,.735,91,1970,106,40,56,34,37,988
BAL,46,30.0,4.89,144,5531,4837,704,1267,229,27,173,668,92,45,574,803,.262,.342,.428,.770,98,2069,119,39,40,41,36,1022
BOS,53,28.6,5.49,144,5716,4997,791,1399,286,31,175,754,99,44,560,923,.280,.357,.455,.812,108,2272,129,65,45,49,38,1084
CHC,43,28.2,4.81,144,5543,4963,693,1315,267,39,158,648,105,37,440,953,.265,.327,.430,.757,101,2134,110,34,71,35,46,956
CHW,46,29.5,5.21,145,5770,5060,755,1417,252,37,146,712,110,39,576,767,.280,.354,.431,.785,107,2181,106,32,46,56,54,1155
CIN,47,28.4,5.19,144,5575,4903,747,1326,277,35,161,694,190,68,519,946,.270,.342,.440,.782,106,2156,92,40,62,50,42,1001
CLE,41,29.1,5.83,144,5686,5028,840,1461,279,23,207,803,132,53,542,766,.291,.361,.479,.839,116,2407,128,35,31,48,40,1018
COL,41,29.5,5.45,144,5647,4994,785,1406,259,43,200,749,125,59,484,943,.282,.350,.471,.820,94,2351,118,56,82,31,47,1017
DET,45,28.7,4.54,144,5535,4865,654,1204,228,29,159,619,73,36,551,987,.247,.327,.404,.731,90,1967,121,41,35,43,30,1017
HOU,44,28.1,5.19,144,5857,5097,747,1403,260,22,109,694,176,60,566,992,.275,.353,.399,.752,105,2034,114,69,78,47,58,1153
KCR,51,29.0,4.37,144,5528,4903,629,1275,240,35,119,578,120,53,475,849,.260,.328,.396,.724,87,1942,105,43,66,39,33,1018
LAD,49,27.3,4.40,144,5544,4942,634,1303,191,31,140,593,127,45,468,1023,.264,.329,.400,.729,99,1976,99,30,68,35,46,1049
MIL,41,27.9,5.14,144,5631,5000,740,1329,249,42,128,700,105,40,502,800,.266,.336,.409,.745,89,2046,105,46,41,42,20,1012
MIN,46,27.3,4.88,144,5588,5005,703,1398,270,34,120,662,105,57,471,916,.279,.346,.419,.765,98,2096,152,58,18,36,32,1025
NYM,45,27.4,4.56,144,5581,4958,657,1323,218,34,125,617,58,39,446,994,.267,.330,.400,.730,95,1984,105,42,92,43,44,1041
NYY,42,30.9,5.17,145,5699,4947,749,1365,280,34,122,709,50,30,625,851,.276,.357,.420,.778,103,2079,139,39,20,68,36,1126
OAK,44,29.6,5.07,144,5617,4916,730,1296,228,18,169,694,112,46,565,911,.264,.341,.420,.762,106,2067,108,45,32,58,25,1049
PHI,50,29.7,4.27,144,5613,4950,615,1296,263,30,94,576,72,25,497,884,.262,.332,.384,.716,90,1901,107,46,77,41,38,1114
PIT,40,28.3,4.37,144,5501,4937,629,1281,245,27,125,587,84,55,456,972,.259,.323,.396,.719,88,1955,88,24,51,33,45,1010
SDP,40,28.7,4.64,144,5527,4950,668,1345,231,20,116,618,124,46,447,872,.272,.334,.397,.731,95,1964,125,35,56,38,45,998
SEA,46,28.7,5.49,145,5671,4996,796,1377,276,20,182,767,110,41,549,871,.276,.350,.448,.798,106,2239,109,39,52,34,53,1033
SFG,46,28.7,4.53,144,5603,4971,652,1256,229,33,152,610,138,46,472,1060,.253,.323,.404,.727,95,2007,92,57,79,24,55,1046
STL,46,28.6,3.94,143,5349,4779,563,1182,238,24,107,533,79,46,436,920,.247,.314,.374,.688,83,1789,110,46,48,40,31,957
TEX,46,29.1,4.80,144,5566,4913,691,1304,247,24,138,651,90,47,526,877,.265,.338,.410,.747,92,2013,112,33,49,45,28,1031
TOR,39,28.9,4.46,144,5650,5036,642,1309,275,27,140,613,75,16,492,906,.260,.328,.409,.737,92,2058,119,44,33,45,27,1079
