Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,4.16,,162,6186,5545,674,1487,285,22,145,89,36,520,929,.268,.333,.406,.739,.298,2251,144,32,61,28,52,54
BAL,4.94,,162,6242,5539,800,1458,260,22,180,115,34,580,1052,.263,.336,.416,.752,.294,2302,126,52,25,46,32,64
BOS,4.97,,162,6227,5621,805,1550,354,41,164,87,29,440,959,.276,.335,.441,.776,.305,2478,122,89,27,50,28,56
CHC,4.41,,162,6185,5435,714,1357,258,19,186,90,40,576,1256,.250,.325,.407,.732,.290,2211,118,50,84,40,48,63
CHW,3.98,,162,6176,5584,645,1392,278,23,167,103,25,459,1040,.249,.310,.397,.707,.278,2217,143,52,45,35,42,52
CIN,5.45,,163,6397,5711,889,1657,366,39,219,76,35,492,955,.290,.352,.483,.835,.313,2758,121,80,63,50,47,60
CLE,3.96,,162,6048,5516,642,1363,269,15,157,103,33,413,1050,.247,.302,.387,.689,.277,2133,136,41,36,41,20,66
COL,5.32,,162,6385,5575,862,1600,357,32,175,102,37,604,981,.287,.362,.457,.819,.319,2546,131,84,66,55,54,63
DET,4.86,,162,6139,5528,787,1504,258,35,193,60,49,461,907,.272,.330,.436,.767,.292,2411,148,51,39,60,33,55
HOU,3.74,,163,6023,5430,609,1336,259,27,155,53,31,440,1164,.246,.308,.389,.697,.285,2114,122,59,61,33,29,53
KCR,5.77,,162,6370,5632,935,1640,347,42,178,70,44,580,924,.291,.362,.463,.825,.319,2605,139,74,34,49,33,71
LAD,4.66,,162,6113,5449,755,1434,291,33,182,130,34,471,1004,.263,.327,.429,.756,.291,2337,119,64,90,39,34,63
MIL,4.30,,162,6208,5507,697,1382,300,30,169,86,34,569,1173,.251,.324,.408,.733,.289,2249,108,45,54,33,52,76
MIN,4.09,,162,6072,5590,662,1458,257,28,169,44,36,348,965,.261,.307,.408,.715,.287,2278,141,43,50,40,38,59
NYM,4.00,,162,6121,5457,648,1390,277,21,135,107,25,491,1012,.255,.321,.387,.708,.289,2114,128,56,83,34,43,69
NYY,4.87,,162,6182,5558,789,1495,295,31,164,125,50,463,985,.269,.332,.422,.754,.299,2344,127,84,27,49,25,62
OAK,4.06,,162,6080,5446,658,1315,257,23,154,109,25,504,1075,.241,.311,.382,.693,.273,2080,137,60,32,38,42,56
PHI,4.48,,162,6119,5453,726,1379,319,28,189,82,26,487,1159,.253,.320,.426,.746,.287,2321,111,72,65,41,51,51
PIT,4.75,,162,6264,5462,769,1456,322,27,162,64,36,612,958,.267,.344,.424,.769,.294,2318,164,65,68,57,65,70
SDP,4.48,,162,6253,5612,726,1452,318,42,146,94,25,503,1133,.259,.322,.408,.731,.298,2292,116,46,46,45,45,59
SEA,4.64,,162,6172,5529,751,1483,267,22,179,89,43,496,892,.268,.332,.422,.754,.289,2331,119,57,37,51,32,50
SFG,4.60,,162,6280,5528,745,1456,288,40,151,78,54,592,972,.263,.336,.412,.748,.293,2277,118,42,67,50,42,57
STL,3.91,,162,6047,5444,634,1399,267,21,153,32,33,443,974,.257,.318,.398,.716,.286,2167,180,60,61,37,27,59
TEX,5.30,,162,6371,5699,858,1589,325,25,159,69,26,522,932,.279,.343,.428,.772,.307,2441,126,60,45,44,31,62
TOR,4.35,,162,6166,5579,705,1475,263,20,185,100,35,444,958,.264,.324,.418,.742,.288,2333,134,68,31,43,29,58
