Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,3.59,,162,6057,5461,581,1319,237,22,111,124,54,450,1196,.242,.301,.354,.655,.288,1933,113,31,68,46,56,65
BAL,4.20,,162,6219,5540,681,1404,267,29,164,149,50,563,1139,.253,.323,.401,.724,.289,2221,123,30,34,51,31,57
BOS,5.29,,162,6440,5670,857,1569,330,30,149,171,53,611,987,.277,.351,.424,.775,.309,2406,145,70,32,57,52,72
CHC,4.69,,162,6226,5456,759,1451,303,32,185,146,59,590,1072,.266,.339,.435,.774,.297,2373,96,43,80,57,51,66
CHW,5.17,,161,6262,5560,833,1505,305,28,175,119,52,575,961,.271,.340,.430,.770,.297,2391,102,32,43,52,45,76
CIN,4.72,,162,6264,5509,764,1408,311,30,173,139,48,558,1159,.256,.330,.417,.747,.293,2298,99,77,75,43,62,61
CLE,5.06,,161,6260,5535,815,1528,276,28,181,126,54,575,1036,.276,.347,.434,.781,.308,2403,134,51,45,52,53,59
COL,5.60,,162,6417,5657,908,1697,342,41,196,130,54,566,870,.300,.367,.479,.846,.323,2709,175,67,73,52,23,69
DET,4.88,,162,6246,5552,790,1476,276,34,178,130,48,552,982,.266,.334,.424,.758,.291,2354,123,43,37,61,33,51
HOU,4.07,,162,6166,5483,660,1379,255,23,134,92,57,511,1138,.252,.319,.380,.699,.293,2082,128,52,76,42,25,83
KCR,5.09,,161,6277,5583,820,1530,261,27,186,72,42,531,961,.274,.340,.430,.770,.299,2403,138,54,51,57,42,52
LAD,3.98,,162,6191,5493,645,1325,257,32,163,118,58,546,1232,.241,.313,.389,.702,.281,2135,83,45,74,32,36,61
MIL,4.61,,161,6120,5437,742,1419,275,24,177,106,52,542,1016,.261,.333,.418,.751,.290,2273,145,61,43,36,25,73
MIN,5.31,,162,6250,5641,861,1596,338,33,187,85,46,495,908,.283,.342,.454,.796,.307,2561,142,33,34,47,31,63
NYM,4.38,,162,6210,5551,709,1452,282,35,160,106,44,504,982,.262,.326,.411,.737,.290,2284,134,47,63,44,43,64
NYY,4.25,,162,6279,5626,688,1463,270,27,144,111,47,532,1165,.260,.327,.394,.721,.303,2219,132,45,42,34,41,65
OAK,5.84,,162,6600,5770,946,1734,346,38,197,131,48,642,953,.301,.372,.476,.848,.327,2747,143,64,44,80,54,64
PHI,5.19,,162,6228,5443,840,1441,341,43,171,107,57,616,1209,.265,.342,.437,.780,.308,2381,101,58,48,63,42,62
PIT,4.69,,162,6291,5539,760,1503,296,35,143,109,66,560,1080,.271,.343,.415,.757,.312,2298,112,64,78,47,71,82
SDP,5.50,,162,6429,5655,891,1581,291,36,172,171,75,596,1059,.280,.352,.435,.787,.315,2460,101,61,71,46,37,68
SEA,5.14,,162,6368,5620,833,1500,313,21,192,99,66,598,1207,.267,.342,.433,.775,.307,2431,112,66,43,40,36,69
SFG,4.90,,162,6284,5539,793,1494,248,31,160,108,73,578,1044,.270,.340,.412,.752,.304,2284,134,39,76,51,57,73
STL,4.37,,162,6222,5493,708,1422,232,32,124,134,66,536,1130,.259,.329,.380,.709,.302,2090,115,59,81,52,34,71
TEX,5.08,,162,6309,5642,823,1598,304,34,169,60,56,541,925,.283,.347,.439,.786,.310,2477,128,38,30,58,40,71
TOR,4.28,,162,6149,5527,694,1453,276,25,167,77,64,497,1150,.263,.326,.413,.739,.303,2280,117,39,49,37,29,56
