Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,3.51,,161,6131,5429,565,1302,240,32,123,96,55,554,1058,.240,.313,.364,.677,.275,1975,155,42,74,32,63,71
BAL,4.77,,162,6258,5596,773,1491,265,26,208,103,44,549,967,.266,.336,.435,.770,.288,2432,145,54,20,38,34,42
BOS,4.10,,162,6049,5453,665,1339,277,24,146,118,50,430,1157,.246,.308,.385,.693,.284,2102,120,84,30,52,29,61
CHC,4.69,,162,6236,5429,759,1373,274,30,167,112,54,606,1333,.253,.331,.407,.738,.303,2208,117,58,85,57,53,72
CHW,4.93,,162,6131,5459,798,1422,287,16,190,99,38,528,945,.260,.330,.423,.753,.282,2311,137,60,41,43,31,65
CIN,4.78,,162,6296,5584,774,1502,301,28,173,67,42,550,980,.269,.338,.426,.764,.297,2378,140,56,62,43,63,65
CLE,5.17,,162,6271,5506,837,1508,311,41,142,126,59,603,1058,.274,.348,.423,.771,.312,2327,131,57,39,66,38,63
COL,5.54,,162,6345,5603,898,1554,306,39,225,87,23,582,920,.277,.349,.466,.816,.295,2613,136,64,49,47,49,69
DET,5.37,,161,6215,5593,864,1593,345,58,163,72,34,463,794,.285,.343,.455,.798,.305,2543,119,62,44,53,34,80
HOU,4.29,,162,6205,5479,695,1423,305,33,151,104,36,546,1219,.260,.330,.410,.740,.306,2247,115,55,76,48,78,53
KCR,5.50,,162,6386,5646,891,1587,328,33,212,90,36,572,909,.281,.349,.464,.812,.299,2617,138,52,47,69,48,70
LAD,3.97,,162,6139,5428,643,1311,252,20,165,110,53,555,1132,.242,.315,.387,.702,.275,2098,114,46,71,38,45,55
MIL,5.07,,162,6339,5472,821,1468,299,28,199,109,49,666,1026,.268,.352,.442,.794,.296,2420,129,62,93,45,82,59
MIN,4.42,,161,6133,5578,712,1454,280,32,184,57,27,439,1026,.261,.318,.421,.739,.288,2350,112,45,30,41,24,41
NYM,4.37,,161,6212,5498,703,1408,256,31,163,151,53,543,1107,.256,.327,.403,.730,.292,2215,115,55,74,42,75,82
NYY,4.33,,161,6159,5629,697,1441,301,26,144,92,39,403,1135,.256,.309,.395,.705,.295,2226,100,48,38,41,44,81
OAK,4.04,,162,6158,5530,654,1391,269,28,135,68,46,474,1021,.252,.315,.384,.699,.284,2121,127,62,50,42,45,63
PHI,4.50,,161,6222,5481,724,1381,285,37,153,74,34,570,1075,.252,.328,.401,.730,.286,2199,134,70,66,34,54,52
PIT,4.53,,161,6131,5409,730,1447,290,31,163,94,44,572,920,.268,.342,.423,.765,.294,2288,146,55,60,35,93,73
SDP,5.03,,162,6333,5563,815,1522,323,41,177,76,40,582,1108,.274,.346,.442,.788,.310,2458,135,66,64,58,61,74
SEA,4.31,,162,6117,5540,699,1422,283,15,178,66,35,441,1063,.257,.315,.410,.724,.286,2269,119,49,39,48,34,55
SFG,3.80,,162,6056,5382,616,1349,242,31,116,87,36,523,992,.251,.319,.372,.691,.286,2001,138,36,72,43,44,52
STL,4.00,,162,6135,5402,648,1355,275,15,141,86,34,547,1009,.251,.323,.386,.709,.282,2083,133,60,70,56,39,52
TEX,5.44,,162,6446,5622,882,1528,344,41,194,74,28,669,1030,.272,.355,.451,.806,.301,2536,131,76,38,40,32,58
TOR,5.11,,162,6338,5583,828,1504,312,29,177,107,41,590,991,.269,.344,.431,.775,.297,2405,131,71,42,52,56,62
