Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ATL,42,28.9,5.10,162,6217,5484,826,1489,297,26,215,794,98,43,548,1062,.272,.342,.453,.795,107,2483,104,61,76,46,37,1148
BAL,48,33.1,5.04,162,6304,5565,817,1520,303,11,214,783,86,48,593,903,.273,.347,.447,.794,107,2487,136,58,44,44,30,1187
BOS,47,28.8,5.41,162,6302,5601,876,1568,338,35,205,827,72,39,541,1049,.280,.348,.463,.810,107,2591,144,70,35,52,32,1150
CHC,47,30.1,5.10,163,6394,5649,831,1494,250,34,212,788,65,44,601,1223,.264,.337,.433,.771,99,2448,123,39,67,37,51,1162
CHW,39,27.2,5.28,163,6281,5585,861,1516,291,38,198,806,127,46,551,916,.271,.339,.444,.782,105,2477,119,47,38,59,34,1104
CIN,47,27.5,4.63,162,6269,5496,750,1441,298,28,138,723,95,42,608,1107,.262,.337,.402,.739,92,2209,133,37,78,49,39,1183
CLE,48,29.5,5.25,162,6376,5616,850,1530,334,30,198,811,143,60,630,1061,.272,.347,.448,.795,103,2518,123,41,30,59,35,1169
COL,42,29.5,5.10,162,6277,5632,826,1640,333,36,183,791,67,47,469,949,.291,.347,.461,.808,95,2594,148,37,98,41,29,1138
DET,45,27.3,4.46,162,6243,5664,722,1494,306,29,165,691,122,62,455,1070,.264,.323,.415,.738,91,2353,111,62,16,45,25,1131
HOU,38,29.7,5.40,162,6441,5641,874,1578,326,28,166,818,155,51,621,1122,.280,.356,.436,.792,109,2458,146,72,58,49,52,1217
KCR,51,28.8,4.43,161,6191,5546,714,1459,274,40,134,686,135,50,475,984,.263,.324,.399,.724,87,2215,118,60,45,65,24,1140
LAD,53,28.2,4.13,162,6077,5459,669,1374,209,27,159,630,137,53,447,1056,.252,.310,.387,.698,87,2114,98,36,91,43,31,1069
MIL,43,28.3,4.36,162,6232,5541,707,1439,266,17,152,673,81,59,532,1039,.260,.330,.396,.726,91,2195,135,66,61,32,36,1148
MIN,38,29.8,4.53,162,6263,5641,734,1499,285,32,115,691,112,54,506,915,.266,.328,.389,.717,86,2193,155,45,18,52,33,1151
NYM,49,28.9,4.36,162,6257,5510,706,1425,289,24,136,671,62,46,572,1049,.259,.330,.394,.724,91,2170,126,37,88,48,55,1193
NYY,38,30.4,5.96,162,6444,5643,965,1625,290,31,207,907,153,63,653,1025,.288,.364,.460,.825,116,2598,145,57,32,59,34,1203
OAK,45,29.0,4.96,162,6283,5490,804,1413,295,13,149,755,131,47,633,1122,.257,.338,.397,.735,94,2181,120,55,58,46,22,1159
PHI,40,27.1,4.40,162,6300,5617,713,1482,286,36,126,672,97,45,508,1080,.264,.326,.395,.721,88,2218,110,45,65,65,44,1179
PIT,38,26.7,3.99,163,6113,5493,650,1395,271,35,107,613,159,51,393,1060,.254,.311,.374,.686,79,2057,102,91,78,56,22,1089
SDP,42,31.2,4.62,162,6245,5490,749,1390,292,30,167,715,79,37,604,1072,.253,.330,.409,.739,100,2243,112,48,56,45,40,1179
SEA,47,29.8,5.34,161,6327,5628,859,1553,321,28,234,822,115,39,558,1081,.276,.345,.468,.812,110,2632,107,57,36,48,26,1189
SFG,41,30.6,5.18,163,6484,5628,845,1540,292,26,161,800,102,51,678,1040,.274,.353,.421,.774,108,2367,123,44,81,53,53,1235
STL,45,30.5,4.97,163,6413,5593,810,1444,292,30,223,781,133,41,676,1179,.258,.341,.441,.781,104,2465,117,42,68,34,65,1200
TEX,42,29.9,5.80,162,6401,5672,940,1637,314,32,201,894,82,47,595,1045,.289,.357,.462,.819,108,2618,137,39,41,54,27,1184
TOR,41,29.0,5.01,163,6323,5580,816,1482,316,19,221,776,184,81,564,1132,.266,.340,.448,.787,104,2499,108,87,43,49,43,1133
