Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ATL,45,27.4,5.24,162,6284,5583,849,1510,312,26,222,818,52,35,526,1169,.270,.337,.455,.791,101,2540,131,52,78,44,48,1105
BAL,46,30.3,4.74,162,6240,5610,768,1556,288,20,164,727,121,32,474,878,.277,.339,.424,.763,97,2376,145,73,40,41,35,1177
BOS,53,30.5,5.06,162,6435,5619,820,1510,327,16,192,777,51,23,672,1056,.269,.351,.435,.786,98,2445,136,66,22,56,56,1301
CHC,46,28.6,4.42,162,6147,5587,716,1496,271,46,166,677,121,49,395,928,.268,.319,.422,.741,86,2357,135,43,84,37,24,1082
CHW,37,29.5,5.36,162,6318,5657,868,1586,291,20,236,839,93,48,502,1056,.280,.342,.464,.806,103,2625,118,58,44,57,33,1125
CIN,54,29.6,4.62,162,6296,5515,749,1419,291,12,217,718,124,33,614,1192,.257,.336,.432,.768,93,2385,122,59,66,38,52,1196
CLE,45,27.8,5.37,162,6303,5619,870,1576,351,27,196,839,55,23,556,1204,.280,.349,.457,.806,108,2569,127,54,30,43,42,1162
COL,50,27.9,5.02,162,6348,5562,813,1504,325,54,157,761,85,50,561,1108,.270,.341,.433,.774,90,2408,119,60,119,45,64,1174
DET,40,29.3,5.07,162,6198,5642,822,1548,294,40,203,785,60,40,430,1133,.274,.329,.449,.777,99,2531,120,45,45,36,27,1068
HOU,39,30.5,4.54,162,6326,5521,735,1407,275,27,174,708,79,36,585,1076,.255,.332,.409,.741,89,2258,122,73,100,46,54,1191
KCR,55,29.5,4.67,162,6229,5589,757,1515,335,37,124,718,65,34,474,1040,.271,.332,.411,.743,91,2296,130,64,52,48,32,1144
LAD,50,29.8,5.06,162,6394,5628,820,1552,307,58,153,787,128,49,601,959,.276,.348,.432,.781,99,2434,140,51,66,48,61,1223
MIL,49,28.8,4.51,162,6130,5433,730,1400,301,20,180,695,71,37,502,1233,.258,.327,.420,.747,89,2281,133,82,58,53,48,1108
MIN,39,28.3,4.94,162,6228,5602,801,1608,275,34,143,754,101,42,490,872,.287,.347,.425,.771,101,2380,163,50,31,55,46,1143
NYM,49,30.1,5.15,162,6291,5558,834,1469,323,41,200,800,146,35,547,1071,.264,.334,.445,.780,100,2474,114,62,77,47,63,1115
NYY,49,30.9,5.74,162,6455,5651,930,1608,327,21,210,902,139,35,649,1053,.285,.363,.461,.824,111,2607,139,72,34,49,43,1253
OAK,41,29.5,4.76,162,6281,5500,771,1429,266,22,175,735,61,20,650,976,.260,.340,.412,.752,97,2264,170,50,25,56,28,1187
PHI,45,29.3,5.34,162,6509,5687,865,1518,294,41,216,823,92,25,626,1203,.267,.347,.447,.794,98,2542,115,95,57,44,67,1275
PIT,42,27.8,4.27,162,6218,5558,691,1462,286,17,141,656,68,23,459,1200,.263,.327,.397,.723,86,2205,153,89,62,49,49,1175
SDP,46,30.7,4.51,162,6287,5576,731,1465,298,38,161,698,123,31,564,1104,.263,.332,.416,.749,99,2322,127,40,59,47,37,1188
SEA,49,28.6,4.67,162,6213,5670,756,1540,266,42,172,703,106,37,404,974,.272,.325,.424,.749,95,2406,117,63,38,38,49,1110
SFG,44,33.5,4.63,161,6136,5472,746,1418,297,52,163,711,58,25,494,891,.259,.324,.422,.746,90,2308,136,53,80,37,76,1092
STL,41,29.6,4.85,161,6225,5522,781,1484,292,27,184,745,59,32,531,922,.269,.337,.431,.769,97,2382,129,61,71,40,70,1158
TEX,51,28.4,5.15,162,6273,5659,835,1571,357,23,183,799,53,24,505,1061,.278,.338,.446,.784,101,2523,148,40,18,50,35,1139
TOR,42,28.6,4.99,162,6241,5596,809,1591,348,27,199,778,65,33,514,906,.284,.348,.463,.811,108,2590,166,63,16,52,31,1162
