Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,3.45,,162,6015,5394,559,1297,240,21,101,121,53,480,1036,.240,.303,.349,.652,.278,1882,127,22,77,39,59,60
BAL,4.60,,162,6183,5473,745,1427,284,30,153,96,64,579,900,.261,.333,.407,.741,.286,2230,139,38,51,42,50,64
BOS,4.31,,162,6201,5483,698,1379,281,33,127,92,44,552,997,.252,.322,.384,.706,.283,2107,128,48,58,60,87,80
CHC,4.53,,163,6178,5545,739,1514,285,38,153,84,69,470,905,.273,.332,.421,.753,.300,2334,133,43,69,51,61,62
CHW,4.10,,162,6173,5472,664,1398,217,22,125,82,82,566,974,.255,.328,.372,.699,.288,2034,134,40,54,41,36,61
CIN,4.85,,162,6218,5549,785,1510,239,54,158,134,56,508,996,.272,.336,.420,.756,.305,2331,105,44,77,40,36,63
CLE,5.02,,162,6384,5664,813,1591,278,21,182,113,68,591,888,.281,.351,.434,.784,.304,2457,132,39,48,41,53,86
COL,5.97,4,162,6471,5660,967,1664,280,54,181,119,56,609,913,.294,.362,.458,.821,.319,2595,118,41,82,78,66,96
DET,5.17,,162,6308,5605,837,1547,263,35,188,102,57,542,828,.276,.342,.436,.778,.293,2444,121,48,56,57,92,82
HOU,3.89,,162,6079,5440,630,1363,226,25,117,110,42,476,1056,.251,.313,.366,.679,.289,1990,111,41,79,43,52,76
KCR,4.28,,162,6145,5436,694,1379,292,28,105,119,71,571,985,.254,.327,.376,.702,.290,2042,113,44,41,52,36,49
LAD,4.09,2,162,6274,5544,662,1406,223,33,103,129,66,567,1043,.254,.324,.361,.686,.293,2004,113,37,76,48,68,81
MIL,4.89,,162,6285,5577,792,1511,290,48,153,115,51,522,810,.271,.336,.422,.758,.290,2356,121,60,50,76,58,75
MIN,5.12,,162,6286,5618,830,1591,349,39,148,137,66,514,901,.283,.344,.438,.783,.311,2462,135,45,42,66,34,57
NYM,4.59,,162,6151,5522,744,1483,275,29,139,143,56,434,867,.269,.324,.404,.729,.294,2233,112,50,87,58,61,100
NYY,4.70,,162,6200,5522,761,1467,262,30,170,115,47,552,899,.266,.333,.416,.749,.288,2299,140,29,50,47,58,70
OAK,5.22,,162,6456,5623,846,1551,283,35,157,120,71,680,864,.276,.356,.422,.779,.300,2375,130,49,57,47,59,55
PHI,4.57,,162,6360,5642,740,1419,247,39,129,101,49,573,1117,.252,.322,.378,.700,.291,2131,93,37,65,42,33,96
PIT,4.98,,162,6247,5567,806,1557,317,50,153,148,51,485,832,.280,.339,.437,.776,.303,2433,128,46,93,55,43,52
SDP,4.77,2,162,6267,5520,772,1470,238,40,148,142,68,558,957,.266,.334,.404,.738,.295,2232,97,34,89,62,72,101
SEA,4.51,,162,6254,5483,731,1421,276,31,135,105,68,605,1083,.259,.337,.395,.732,.298,2164,145,66,55,45,56,59
SFG,3.93,1,162,6077,5472,636,1385,185,23,168,81,66,442,982,.253,.313,.387,.700,.279,2120,129,50,74,38,46,72
STL,4.59,5,162,6196,5632,744,1553,282,44,152,112,54,383,775,.276,.324,.422,.746,.294,2379,137,43,80,57,50,94
TEX,4.64,,162,6232,5535,751,1476,278,29,144,95,67,562,957,.267,.337,.405,.742,.298,2244,121,44,48,42,42,77
TOR,4.58,,162,6269,5527,742,1441,240,31,134,136,64,620,1023,.261,.336,.388,.724,.296,2145,111,32,38,52,38,62
