Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,3.93,,114,4322,3837,448,929,175,17,76,90,32,378,865,.242,.311,.356,.667,.291,1366,72,22,48,37,52,47
BAL,4.44,,112,4265,3817,497,1005,199,18,131,61,28,351,666,.263,.327,.428,.755,.286,1633,82,26,35,36,25,34
BOS,5.40,,115,4553,3993,621,1104,207,23,120,98,38,450,729,.276,.351,.430,.781,.309,1717,102,31,34,42,46,49
CHC,4.86,,113,4413,3928,549,1054,185,26,120,75,46,392,717,.268,.336,.420,.756,.300,1651,95,19,46,27,35,46
CHW,4.41,2,113,4310,3852,498,964,171,13,115,81,30,377,754,.250,.317,.391,.708,.282,1506,75,17,32,32,24,48
CIN,4.26,4,115,4411,3964,490,1037,181,22,117,78,39,339,799,.262,.322,.407,.729,.299,1613,74,27,56,24,23,41
CLE,4.97,,113,4488,3982,562,1097,194,22,94,75,33,404,666,.275,.346,.406,.752,.308,1617,99,41,25,36,28,55
COL,5.45,2,117,4644,4060,638,1185,240,45,120,87,44,448,703,.292,.366,.462,.828,.326,1875,90,49,53,34,43,54
DET,5.83,,115,4572,4032,671,1139,225,25,148,94,36,449,560,.282,.356,.461,.816,.295,1858,74,25,35,31,74,51
HOU,4.37,1,115,4412,3930,503,1043,191,19,102,85,36,367,739,.265,.331,.402,.733,.302,1578,91,34,50,31,34,47
KCR,4.63,,115,4428,3919,532,1018,209,31,95,91,30,392,717,.260,.328,.402,.730,.292,1574,81,33,34,49,31,43
LAD,4.46,,114,4369,3899,509,1041,190,31,90,90,33,354,732,.267,.331,.401,.732,.306,1563,80,33,52,31,36,49
MIL,5.10,,115,4493,3982,586,1071,221,25,127,117,28,421,577,.269,.340,.433,.773,.285,1723,109,29,24,37,28,50
MIN,6.09,,113,4507,4009,688,1197,275,24,153,85,53,388,602,.299,.361,.494,.855,.317,1979,82,31,34,44,20,46
NYM,4.65,2,113,4383,3946,526,1069,211,25,117,68,34,332,640,.271,.328,.426,.754,.295,1681,95,21,51,33,48,53
NYY,4.73,,113,4406,3920,534,1045,216,22,120,55,29,398,656,.267,.335,.425,.759,.291,1665,107,21,31,36,24,58
OAK,5.17,6,114,4423,3806,589,979,172,24,128,60,45,510,732,.257,.347,.416,.763,.285,1583,83,34,37,36,30,55
PHI,4.32,,115,4438,3935,497,1028,192,9,98,87,30,377,699,.261,.328,.389,.717,.293,1532,76,28,63,34,28,61
PIT,5.09,2,114,4393,3894,580,1094,231,25,117,78,31,370,650,.281,.347,.443,.790,.309,1726,108,41,51,37,52,52
SDP,4.54,,117,4503,3995,531,1008,178,42,99,99,45,393,862,.252,.321,.392,.714,.297,1567,68,25,66,24,62,76
SEA,5.50,1,112,4411,3836,616,1051,211,27,109,69,39,486,763,.274,.357,.428,.785,.314,1643,81,28,28,33,39,55
SFG,4.35,2,115,4369,3869,500,1014,200,14,122,76,35,372,655,.262,.330,.416,.745,.285,1608,92,37,53,38,40,36
STL,5.40,,115,4470,3987,621,1154,257,30,134,70,40,355,632,.289,.351,.470,.820,.314,1873,101,38,57,31,28,43
TEX,6.11,,114,4595,4087,697,1176,214,31,157,47,33,394,683,.288,.351,.471,.822,.309,1923,90,32,36,46,29,71
TOR,5.03,,115,4536,3954,579,1053,189,21,127,101,43,482,832,.266,.348,.421,.769,.305,1665,84,32,29,38,23,42
