Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,3.88,,162,6052,5396,629,1326,262,32,126,102,44,505,1241,.246,.314,.376,.690,.295,2030,139,49,67,34,64,64
BAL,4.85,,162,6262,5592,785,1508,298,32,186,83,27,520,1007,.270,.336,.434,.770,.298,2428,115,59,47,43,45,55
BOS,4.59,,162,6267,5547,744,1402,308,25,152,169,42,580,1207,.253,.327,.399,.726,.295,2216,115,53,40,47,30,57
CHC,4.73,,162,6298,5522,767,1409,263,32,154,114,31,605,1268,.255,.334,.398,.732,.303,2198,119,65,65,40,42,86
CHW,4.35,,162,6180,5581,704,1471,285,20,136,105,39,490,1149,.264,.325,.395,.720,.308,2204,140,34,38,36,41,58
CIN,4.23,,162,6182,5525,685,1404,276,18,158,71,34,524,1130,.254,.323,.396,.719,.292,2190,121,50,51,32,32,31
CLE,4.64,,162,6224,5494,752,1477,307,29,147,125,58,572,967,.269,.342,.416,.758,.300,2283,158,66,43,47,36,67
COL,4.43,,162,6143,5459,717,1405,289,29,139,81,43,525,1234,.257,.326,.397,.724,.307,2169,155,56,59,44,54,64
DET,4.59,,162,6198,5505,743,1445,243,43,142,101,50,537,1056,.262,.332,.400,.732,.299,2200,147,65,37,52,29,53
HOU,4.50,,162,6221,5540,729,1446,289,37,140,89,44,548,1210,.261,.330,.402,.732,.309,2229,113,40,53,38,39,66
KCR,5.22,,162,6333,5632,845,1553,321,23,176,137,55,551,1035,.276,.342,.435,.777,.307,2448,109,47,41,60,28,72
LAD,4.27,,162,6141,5422,692,1323,242,40,134,97,39,539,1274,.244,.316,.378,.694,.292,2047,101,58,69,53,75,66
MIL,4.96,,162,6324,5574,804,1487,329,23,173,100,31,582,1258,.267,.338,.427,.765,.313,2381,112,48,65,54,42,58
MIN,4.14,,162,6106,5603,671,1493,307,35,155,82,37,383,1048,.266,.317,.417,.734,.302,2335,123,47,35,37,19,33
NYM,4.02,,162,6245,5537,652,1438,282,27,135,51,26,545,1106,.260,.330,.394,.723,.301,2179,135,52,74,35,55,52
NYY,4.28,,162,6102,5412,693,1349,246,14,179,132,23,540,1154,.249,.322,.399,.721,.283,2160,138,62,35,52,37,32
OAK,3.86,,162,6011,5378,626,1315,232,17,153,88,32,512,1070,.245,.313,.379,.692,.277,2040,132,38,48,34,29,53
PHI,3.95,,162,6095,5525,640,1402,283,24,168,84,31,416,1183,.254,.311,.405,.716,.294,2237,132,57,67,30,42,54
PIT,5.35,,162,6300,5561,866,1567,360,35,167,116,32,538,1026,.282,.348,.449,.798,.316,2498,102,66,68,67,40,72
SDP,3.59,,162,6058,5446,581,1305,240,22,139,79,39,517,1295,.240,.308,.368,.676,.289,2006,117,28,46,21,51,41
SEA,4.31,,162,6091,5506,698,1402,293,22,157,73,29,452,973,.255,.313,.401,.714,.281,2210,125,40,37,51,33,66
SFG,3.60,,162,6159,5424,583,1279,246,40,134,115,49,578,1331,.236,.313,.370,.683,.286,2007,91,51,64,41,58,36
STL,3.96,,162,6137,5506,641,1412,266,28,133,53,38,477,1094,.256,.319,.387,.706,.296,2133,152,48,62,44,32,64
TEX,4.24,,162,6213,5517,687,1355,269,21,162,116,35,551,1181,.246,.319,.390,.709,.283,2152,119,63,36,46,24,59
TOR,4.49,,162,6165,5508,728,1407,310,31,150,69,35,539,1184,.255,.326,.405,.731,.299,2229,148,60,21,37,35,54
