Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,4.80,,162,6244,5480,778,1439,325,42,156,113,35,586,1076,.263,.336,.423,.758,.299,2316,129,42,86,50,80,59
BAL,5.40,,161,6414,5551,869,1538,279,23,184,130,33,687,922,.277,.361,.435,.796,.300,2415,141,80,32,63,44,54
BOS,4.28,,162,6180,5485,694,1369,289,19,147,96,32,548,1185,.250,.323,.390,.713,.292,2137,119,68,40,39,17,50
CHC,4.17,,161,6194,5495,671,1329,283,39,160,87,36,548,1264,.242,.316,.395,.711,.284,2170,97,65,47,38,45,56
CHW,4.47,,163,6218,5641,729,1471,314,31,156,139,30,460,1147,.261,.320,.410,.731,.301,2315,136,48,43,26,42,66
CIN,4.94,,162,6352,5606,800,1542,322,29,201,95,40,557,1227,.275,.345,.450,.796,.318,2525,130,67,77,45,40,64
CLE,4.70,,162,6164,5599,761,1530,290,21,170,67,27,444,986,.273,.330,.424,.754,.303,2372,160,51,28,41,28,58
COL,5.07,,162,6338,5614,822,1547,335,46,148,86,30,562,1041,.276,.344,.431,.775,.313,2418,142,53,62,47,49,60
DET,5.29,,162,6411,5617,857,1541,334,33,172,69,36,644,991,.274,.353,.437,.791,.304,2457,151,68,33,49,63,60
HOU,4.61,,161,6125,5497,743,1453,309,33,197,47,21,492,1095,.264,.328,.440,.768,.296,2419,120,50,46,40,53,38
KCR,4.82,,162,6214,5572,781,1473,282,41,159,78,26,515,1085,.264,.328,.415,.743,.300,2314,133,41,26,59,15,55
LAD,4.00,,162,6127,5492,648,1381,259,28,123,82,26,480,1205,.251,.315,.376,.691,.299,2065,124,48,63,43,58,59
MIL,4.25,,162,6209,5530,689,1415,261,22,175,71,45,528,1110,.256,.323,.406,.729,.289,2245,131,42,69,40,32,73
MIN,4.57,,163,6221,5715,745,1568,295,27,183,69,34,406,995,.274,.324,.431,.755,.303,2466,143,31,32,37,38,56
NYM,4.41,,162,6338,5565,715,1415,264,22,163,66,28,590,1181,.254,.331,.397,.729,.294,2212,112,70,73,40,53,54
NYY,4.49,,162,6175,5547,727,1478,288,25,143,113,56,489,1141,.266,.329,.405,.733,.309,2245,111,51,35,52,37,48
OAK,4.29,,161,6112,5396,690,1364,284,31,135,70,41,576,1061,.253,.328,.392,.720,.289,2115,142,54,32,53,45,56
PHI,4.20,,162,6229,5563,680,1444,306,25,160,109,34,533,1081,.260,.329,.410,.739,.295,2280,127,57,50,24,64,55
PIT,5.46,,162,6528,5693,884,1631,361,33,176,104,46,657,963,.286,.362,.454,.816,.316,2586,157,49,72,56,31,63
SDP,4.72,,162,6286,5574,764,1466,261,29,165,168,38,561,1100,.263,.332,.409,.741,.299,2280,123,38,64,49,61,42
SEA,5.01,,162,6368,5587,811,1544,351,20,161,92,37,626,1016,.276,.351,.433,.784,.309,2418,139,53,41,61,37,53
SFG,4.69,,162,6341,5495,759,1416,301,32,147,99,41,652,1240,.258,.341,.404,.745,.305,2222,106,70,67,57,59,61
STL,4.48,,162,6264,5623,725,1517,352,34,163,49,26,496,957,.270,.332,.431,.764,.298,2426,134,51,52,42,21,44
TEX,5.97,,162,6506,5722,967,1647,355,36,176,114,37,625,963,.288,.362,.455,.817,.317,2602,160,72,30,55,44,66
TOR,3.77,,162,6067,5460,610,1330,281,31,134,86,37,467,1184,.244,.309,.380,.689,.286,2075,111,67,31,40,42,49
