Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,4.08,,162,6218,5570,661,1398,238,19,142,108,45,507,1197,.251,.314,.377,.691,.294,2100,98,26,74,41,55,70
BAL,5.03,,162,6259,5465,815,1468,269,34,198,93,50,647,982,.269,.348,.439,.787,.293,2399,158,49,47,49,34,52
BOS,4.43,,162,6120,5524,718,1396,283,20,160,159,58,469,1131,.253,.315,.398,.713,.289,2199,106,55,27,43,25,87
CHC,5.68,,162,6359,5658,920,1619,277,41,221,100,43,529,980,.286,.346,.467,.813,.309,2641,113,27,79,66,48,77
CHW,5.37,,162,6452,5700,870,1608,276,18,210,102,46,596,968,.282,.353,.447,.801,.305,2550,122,61,39,56,31,83
CIN,4.36,,163,6221,5424,711,1309,302,23,190,124,34,636,1081,.241,.324,.411,.734,.267,2227,115,45,71,43,46,55
CLE,5.31,,162,6374,5606,860,1503,299,30,197,118,46,634,1120,.268,.346,.438,.784,.302,2453,130,54,41,39,55,51
COL,6.35,,162,6574,5648,1028,1700,326,41,237,163,63,737,1032,.301,.384,.499,.883,.330,2819,157,60,74,52,46,62
DET,5.48,,161,6286,5534,882,1528,283,28,209,81,44,583,976,.276,.349,.451,.800,.299,2494,137,70,39,60,26,64
HOU,4.17,,162,6199,5572,675,1485,271,35,128,94,43,478,1204,.267,.326,.397,.723,.316,2210,136,40,60,49,17,61
KCR,5.72,,161,6387,5579,921,1607,254,33,202,111,49,643,831,.288,.365,.454,.819,.306,2533,157,68,44,53,34,67
LAD,4.86,,162,6317,5571,787,1438,275,26,192,156,56,594,1077,.258,.334,.420,.755,.287,2341,114,62,56,34,26,68
MIL,5.50,,161,6477,5705,886,1618,279,34,213,177,44,616,987,.284,.356,.456,.813,.309,2604,122,51,60,44,42,72
MIN,5.25,,161,6216,5621,845,1591,322,35,208,73,37,487,927,.283,.341,.464,.804,.305,2607,121,28,32,48,22,47
NYM,4.36,,163,6232,5454,711,1372,298,55,167,134,44,617,1172,.252,.331,.418,.749,.289,2281,126,52,57,51,53,31
NYY,4.51,,162,6233,5506,731,1402,272,28,158,131,48,581,1111,.255,.330,.400,.730,.290,2204,103,57,42,47,27,60
OAK,5.22,,162,6309,5613,846,1537,327,31,160,110,51,569,967,.274,.344,.429,.773,.304,2406,137,54,34,39,45,70
PHI,5.22,,162,6348,5550,846,1494,299,27,212,94,35,627,1030,.269,.347,.447,.794,.295,2483,115,58,69,44,24,61
PIT,4.86,,161,6272,5484,782,1444,309,35,160,99,50,633,1083,.263,.343,.420,.762,.300,2303,148,51,59,45,54,86
SDP,4.82,,162,6147,5469,781,1454,253,29,193,114,45,529,1078,.266,.332,.429,.761,.297,2344,131,35,70,44,48,78
SEA,5.59,,162,6471,5627,905,1613,322,24,191,107,50,684,980,.287,.368,.454,.822,.315,2556,151,71,34,54,39,65
SFG,5.13,,162,6430,5614,831,1486,270,19,194,129,53,655,1076,.265,.345,.423,.768,.295,2376,117,51,71,39,41,78
STL,5.20,,161,6427,5562,838,1519,302,36,161,80,69,667,1025,.273,.355,.427,.782,.307,2376,119,63,85,48,38,77
TEX,5.30,,162,6313,5678,859,1626,344,39,186,47,52,509,979,.286,.346,.459,.805,.315,2606,149,40,34,52,23,77
TOR,5.32,,162,6368,5644,862,1582,325,33,191,124,53,575,1009,.280,.349,.451,.800,.309,2546,136,53,39,57,25,68
