Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,3.70,,162,5991,5398,600,1310,251,21,145,98,39,464,1232,.243,.306,.378,.684,.288,2038,123,41,62,26,40,46
BAL,4.35,,162,6278,5676,705,1433,271,16,184,63,36,481,1177,.252,.315,.403,.718,.287,2288,131,53,30,38,36,61
BOS,4.98,,162,6209,5521,806,1449,292,27,190,127,31,529,1176,.262,.331,.428,.759,.298,2365,139,66,27,64,33,48
CHC,4.69,,162,6140,5401,759,1399,273,47,175,125,36,573,1128,.259,.335,.424,.759,.296,2291,121,65,58,42,36,62
CHW,4.17,,162,6098,5470,676,1365,252,20,186,104,41,503,1246,.250,.319,.405,.724,.290,2215,129,68,24,33,29,38
CIN,3.63,,162,6056,5492,588,1356,262,35,152,78,43,427,1248,.247,.305,.390,.695,.291,2144,101,51,44,41,33,47
CLE,5.22,,162,6283,5603,845,1503,317,33,174,140,37,543,1086,.268,.336,.430,.766,.302,2408,137,55,25,57,27,55
COL,5.49,,162,6384,5639,890,1637,321,49,198,121,43,566,1144,.290,.357,.470,.827,.331,2650,119,47,87,45,61,73
DET,4.14,,162,6045,5496,670,1409,271,37,151,131,45,438,1318,.256,.314,.402,.716,.310,2207,112,42,33,35,35,52
HOU,4.90,,162,6238,5539,794,1493,276,39,173,131,37,540,1170,.270,.337,.427,.765,.312,2366,108,48,69,41,40,69
KCR,4.60,,162,6251,5567,746,1504,280,42,163,113,51,542,1177,.270,.339,.423,.762,.314,2357,137,60,40,42,44,54
LAD,3.69,,162,6068,5372,597,1277,249,32,122,92,43,539,1276,.238,.310,.364,.675,.288,1956,115,45,73,38,62,55
MIL,4.52,,162,6245,5594,733,1458,290,31,169,123,39,525,1402,.261,.326,.414,.740,.318,2317,104,31,61,34,20,48
MIN,5.14,,162,6214,5610,832,1536,285,31,198,111,24,465,943,.274,.333,.442,.775,.296,2477,158,57,34,48,43,68
NYM,4.38,,162,6086,5449,709,1368,262,36,161,97,30,488,1240,.251,.315,.401,.716,.295,2185,115,40,64,43,29,53
NYY,4.12,,162,6085,5542,668,1401,303,24,190,90,28,431,1318,.253,.311,.419,.730,.298,2322,115,49,31,32,32,50
OAK,3.79,,162,6131,5540,614,1360,264,14,147,99,45,462,1136,.245,.306,.378,.684,.282,2093,113,46,36,47,34,65
PHI,4.20,,162,6072,5524,680,1387,276,25,178,99,56,409,1385,.251,.306,.407,.713,.303,2247,98,44,60,32,33,65
PIT,4.16,,162,6097,5455,674,1357,250,30,153,154,19,490,1192,.249,.314,.390,.703,.290,2126,111,45,67,40,30,71
SDP,4.38,,162,6151,5464,710,1356,263,36,162,152,47,539,1205,.248,.319,.398,.718,.289,2177,78,48,62,38,48,71
SEA,4.02,,162,6062,5484,651,1359,246,28,166,128,39,449,1166,.248,.308,.394,.702,.284,2159,137,49,35,45,39,40
SFG,4.01,,162,6138,5493,649,1361,296,37,142,129,53,489,1237,.248,.313,.393,.706,.294,2157,110,51,66,36,42,70
STL,4.00,,162,6158,5571,648,1420,272,32,134,56,43,436,1218,.255,.313,.387,.700,.302,2158,130,50,66,35,28,75
TEX,4.36,,162,6067,5518,707,1378,273,37,175,106,27,446,1286,.250,.309,.408,.716,.294,2250,115,41,22,40,15,56
TOR,4.84,,162,6216,5517,784,1439,334,15,204,87,43,574,1142,.261,.335,.438,.772,.294,2415,143,55,35,35,20,52
