Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,3.59,,162,5967,5379,581,1291,206,26,117,85,40,467,1232,.240,.303,.353,.657,.289,1900,119,35,59,27,37,66
BAL,4.85,,162,6213,5535,785,1505,274,29,169,182,53,535,1065,.272,.338,.423,.762,.307,2344,121,46,46,50,33,43
BOS,4.50,,162,6141,5511,729,1406,267,20,168,132,58,504,1025,.255,.321,.402,.723,.284,2217,105,53,26,47,33,64
CHC,4.86,,163,6472,5740,792,1528,299,34,180,120,43,575,1207,.266,.336,.424,.760,.306,2435,77,48,62,46,48,58
CHW,5.71,,163,6368,5651,931,1569,308,26,211,122,59,580,911,.278,.348,.453,.801,.297,2562,141,54,32,51,20,86
CIN,4.69,,162,6206,5462,760,1400,299,33,170,117,46,573,1098,.256,.330,.417,.747,.290,2275,117,52,74,44,42,61
CLE,4.81,,162,6393,5669,779,1552,303,29,171,110,47,563,1037,.274,.344,.428,.772,.306,2426,123,67,43,49,48,56
COL,5.28,,162,6277,5545,855,1583,295,43,174,108,52,562,951,.285,.355,.448,.804,.316,2486,157,63,62,43,17,44
DET,5.33,,162,6327,5596,863,1551,283,37,185,120,69,595,947,.277,.348,.440,.788,.303,2463,147,40,46,49,53,71
HOU,3.83,,162,6214,5614,620,1435,279,28,147,75,43,465,1187,.256,.315,.394,.709,.298,2211,112,42,52,41,25,56
KCR,5.58,,161,6369,5653,899,1590,291,24,196,80,43,568,999,.281,.350,.445,.795,.309,2517,144,60,30,58,28,73
LAD,4.19,,162,6168,5415,678,1332,248,25,135,93,57,587,1178,.246,.324,.376,.700,.289,2035,127,56,72,38,26,75
MIL,5.01,,162,6325,5587,812,1538,308,34,188,125,34,550,1063,.275,.344,.444,.788,.308,2478,156,61,82,44,29,65
MIN,5.05,,162,6322,5715,818,1622,320,40,180,101,45,457,952,.284,.338,.448,.786,.310,2562,116,44,37,68,21,54
NYM,3.98,,162,6161,5453,645,1381,297,25,152,117,64,532,1129,.253,.325,.401,.726,.292,2184,119,68,64,42,59,51
NYY,4.05,,162,6100,5484,656,1357,262,18,156,102,51,466,1080,.247,.312,.387,.699,.280,2123,118,68,34,47,25,47
OAK,5.35,,162,6310,5628,866,1555,314,37,179,103,48,529,922,.276,.342,.441,.782,.300,2480,130,56,44,53,29,89
PHI,4.99,,162,6339,5623,808,1476,328,30,188,87,33,544,1176,.262,.331,.432,.763,.299,2428,108,54,73,43,27,66
PIT,4.40,,163,6217,5542,718,1433,293,26,147,95,39,530,1112,.259,.324,.400,.724,.297,2219,134,31,64,50,53,96
SDP,3.92,,162,6151,5497,635,1384,248,24,139,94,40,501,1217,.252,.318,.381,.700,.299,2097,126,49,75,29,45,59
SEA,5.31,,161,6271,5596,855,1530,362,23,196,127,49,528,1156,.273,.340,.451,.792,.312,2526,120,60,49,37,23,83
SFG,4.53,,163,6362,5622,739,1457,278,33,171,97,39,562,1089,.259,.330,.412,.741,.292,2314,133,52,80,46,68,57
STL,4.80,,163,6392,5639,782,1513,285,23,151,92,44,558,972,.268,.338,.407,.745,.299,2297,124,54,92,45,38,80
TEX,5.38,,162,6357,5695,871,1624,330,47,164,64,55,519,994,.285,.346,.446,.792,.317,2540,113,45,35,63,32,80
TOR,4.71,,163,6352,5632,768,1443,333,34,169,149,47,587,1154,.256,.329,.417,.746,.293,2351,107,45,42,44,26,72
