Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,4.41,,162,6165,5543,714,1428,263,21,165,99,33,484,1093,.258,.319,.402,.721,.292,2228,121,37,64,37,52,84
BAL,5.64,,162,6433,5625,913,1547,296,39,202,104,31,665,1017,.275,.352,.449,.801,.301,2527,127,36,48,57,32,79
BOS,4.60,,162,6225,5573,745,1433,279,29,173,159,47,498,1121,.257,.322,.411,.733,.291,2289,98,58,46,49,40,65
CHC,5.58,,162,6451,5614,904,1505,280,29,231,94,54,658,1143,.268,.348,.452,.800,.297,2536,105,62,62,54,45,59
CHW,5.18,,162,6337,5581,839,1509,263,33,195,79,58,614,1037,.270,.346,.434,.780,.299,2423,156,54,39,49,27,88
CIN,4.69,,163,6362,5543,765,1446,334,38,190,81,33,659,1015,.261,.341,.438,.779,.286,2426,130,43,68,48,53,61
CLE,5.04,,162,6380,5596,816,1511,288,29,173,109,42,666,1213,.270,.350,.425,.774,.315,2376,128,42,34,42,45,33
COL,5.54,,162,6340,5574,897,1568,319,38,221,102,34,588,1001,.281,.354,.471,.826,.306,2626,142,72,53,52,72,60
DET,5.10,,162,6295,5654,827,1583,304,43,177,55,42,496,978,.280,.340,.443,.782,.308,2504,144,47,33,63,22,67
HOU,5.83,,162,6455,5671,944,1596,312,45,234,111,32,598,1064,.281,.353,.476,.829,.307,2700,123,60,60,64,25,81
KCR,5.74,,162,6443,5624,930,1585,309,27,239,118,38,693,927,.282,.362,.474,.836,.299,2665,159,42,39,45,35,60
LAD,4.50,,162,6249,5474,729,1379,283,19,176,106,52,600,1154,.252,.332,.407,.739,.288,2228,125,75,68,30,22,77
MIL,5.07,,163,6497,5585,826,1501,254,33,174,86,58,728,967,.269,.357,.420,.776,.295,2343,156,65,67,52,87,74
MIN,5.43,,162,6336,5696,880,1634,319,33,212,64,33,516,1042,.287,.347,.466,.813,.317,2655,121,35,41,46,12,55
NYM,4.56,,162,6276,5540,738,1398,286,29,164,133,46,574,1164,.252,.327,.403,.730,.290,2234,97,60,56,46,42,77
NYY,5.06,,161,6256,5534,814,1458,296,25,177,91,37,577,1040,.263,.336,.422,.758,.293,2335,109,52,45,48,23,77
OAK,5.05,,161,6355,5605,813,1535,308,26,158,92,39,615,963,.274,.348,.423,.770,.304,2369,139,48,35,51,57,70
PHI,5.12,,162,6314,5505,830,1458,337,33,201,77,44,640,1123,.265,.343,.448,.791,.297,2464,111,42,74,53,32,58
PIT,5.48,,162,6514,5618,888,1554,313,35,163,101,42,711,1070,.277,.361,.432,.793,.313,2426,145,60,70,55,61,85
SDP,5.03,,162,6414,5597,815,1443,260,27,191,106,50,649,1071,.258,.340,.416,.756,.286,2330,124,68,59,41,50,98
SEA,4.81,,162,6269,5503,780,1442,292,26,167,82,38,634,998,.262,.339,.416,.755,.290,2287,154,38,39,55,37,61
SFG,4.61,,162,6270,5458,747,1452,265,39,151,97,48,623,1076,.266,.342,.412,.754,.303,2248,138,41,85,63,26,52
STL,4.76,,162,6200,5411,771,1403,299,28,196,70,66,606,1100,.259,.338,.434,.771,.290,2346,120,62,69,52,28,62
TEX,6.01,,162,6559,5731,974,1683,367,34,202,65,37,661,918,.294,.369,.475,.845,.317,2724,133,63,42,62,40,81
TOR,5.60,,162,6377,5669,908,1615,338,23,195,99,38,560,978,.285,.354,.456,.809,.313,2584,142,64,44,40,19,56
