Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,4.97,,162,6350,5600,805,1529,304,36,183,101,30,572,1049,.273,.343,.438,.781,.304,2454,131,55,68,54,69,60
BAL,5.55,,162,6327,5560,899,1579,286,28,216,80,50,613,1016,.284,.357,.462,.819,.311,2569,129,48,45,61,26,54
BOS,5.09,,162,6292,5637,825,1570,348,28,181,108,23,509,1070,.279,.343,.447,.789,.313,2517,148,68,31,46,25,36
CHC,5.15,,162,6366,5484,834,1396,276,32,210,118,39,687,1250,.255,.342,.431,.774,.291,2366,95,67,82,46,44,54
CHW,4.90,,162,6232,5664,794,1534,296,31,200,116,34,433,1012,.271,.326,.440,.766,.296,2492,128,58,29,48,59,50
CIN,4.94,,162,6319,5671,801,1576,332,23,213,50,35,464,1053,.278,.337,.457,.794,.307,2593,111,60,84,40,55,74
CLE,4.83,,162,6190,5618,782,1583,293,23,166,128,34,429,948,.282,.335,.431,.766,.311,2420,143,51,35,55,35,75
COL,5.01,,162,6318,5600,812,1549,331,55,155,99,42,553,952,.277,.346,.438,.785,.307,2455,165,66,53,44,81,57
DET,4.17,,162,6145,5535,675,1420,263,38,160,49,35,489,1003,.257,.321,.405,.725,.286,2239,140,53,26,41,35,60
HOU,4.44,,162,6219,5572,719,1425,321,28,182,78,28,480,1160,.256,.319,.421,.740,.291,2348,144,54,72,41,65,52
KCR,5.99,,162,6434,5636,971,1648,341,27,213,58,30,637,904,.292,.367,.476,.843,.314,2682,161,60,44,57,45,59
LAD,4.64,,162,6289,5655,751,1524,323,30,152,110,38,492,1068,.269,.330,.418,.748,.307,2363,154,41,63,38,40,73
MIL,5.14,,162,6210,5494,833,1454,355,32,177,97,31,514,1145,.265,.333,.438,.771,.302,2404,111,74,77,51,34,64
MIN,4.22,,162,6066,5586,683,1490,280,23,182,54,31,356,1164,.267,.312,.423,.735,.305,2362,111,36,40,48,25,50
NYM,4.51,,162,6240,5531,731,1402,274,18,180,111,40,527,1161,.253,.323,.407,.730,.288,2252,105,62,67,53,39,54
NYY,4.73,,162,6215,5590,767,1463,294,22,170,92,47,496,1019,.262,.326,.413,.740,.291,2311,126,59,31,39,41,70
OAK,4.49,,162,6279,5614,727,1525,289,34,162,88,41,529,1003,.272,.338,.422,.759,.303,2368,149,55,32,49,47,44
PHI,5.01,,162,6366,5677,812,1561,335,40,211,94,35,512,1138,.275,.339,.460,.798,.308,2609,135,62,63,49,63,64
PIT,4.92,,162,6354,5507,797,1545,300,31,156,102,52,620,1060,.281,.357,.431,.789,.320,2375,144,70,102,55,62,58
SDP,4.19,,162,6175,5557,679,1385,264,35,176,150,26,468,1097,.249,.312,.404,.716,.280,2247,120,50,68,32,63,49
SEA,4.89,,162,6294,5611,792,1500,327,23,183,72,38,560,1067,.267,.337,.432,.769,.299,2422,130,53,31,39,50,56
SFG,4.91,,161,6225,5449,790,1422,287,47,153,98,40,584,992,.261,.337,.415,.752,.291,2262,108,70,66,55,37,53
STL,4.73,,161,6196,5496,762,1475,310,34,193,63,32,504,970,.268,.337,.443,.779,.294,2432,155,80,83,32,35,63
TEX,4.84,,162,6237,5601,784,1558,283,25,162,67,40,496,972,.278,.341,.424,.766,.309,2377,145,66,26,48,18,56
TOR,4.65,,162,6151,5532,754,1447,291,21,185,130,32,504,1076,.262,.328,.422,.750,.293,2335,127,59,25,31,56,62
