Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ATL,34,26.9,3.85,101,3823,3447,389,846,154,18,85,370,58,20,295,854,.245,.309,.375,.683,90,1291,67,29,32,19,19,709
BAL,35,28.1,4.29,100,3809,3475,429,909,160,8,122,415,29,11,244,756,.262,.315,.418,.733,103,1451,79,40,23,27,23,696
BOS,38,30.2,3.97,101,3900,3459,401,863,182,15,79,380,31,20,357,803,.249,.325,.379,.704,97,1312,97,45,10,29,27,750
CHC,36,27.3,3.88,99,3738,3371,384,798,171,23,92,371,43,26,273,848,.237,.298,.383,.681,86,1291,51,32,36,26,18,644
CHW,39,28.0,4.22,102,3853,3493,430,876,179,22,100,402,60,20,291,874,.251,.313,.401,.713,97,1399,81,34,11,24,21,681
CIN,37,29.0,3.85,101,3767,3386,389,829,182,11,87,368,85,34,268,783,.245,.305,.382,.687,90,1294,56,35,49,26,18,666
CLE,42,29.1,4.46,101,3903,3480,450,890,177,14,97,433,58,17,335,739,.256,.324,.398,.722,105,1386,83,29,26,32,10,722
COL,43,27.5,4.67,102,3833,3485,476,980,194,21,117,453,59,30,250,751,.281,.331,.450,.781,105,1567,78,27,37,34,23,663
DET,36,29.8,4.78,98,3720,3368,468,939,211,16,101,455,66,32,272,685,.279,.332,.441,.773,110,1485,80,21,14,45,23,645
HOU,41,25.8,3.90,101,3783,3399,394,814,147,15,107,373,78,20,311,897,.239,.309,.386,.695,93,1312,82,40,10,23,12,678
KCR,40,27.9,3.98,100,3778,3448,398,911,183,15,57,371,83,20,244,590,.264,.316,.376,.691,90,1295,84,31,21,34,13,697
LAD,40,29.5,4.13,103,3919,3474,425,893,194,26,78,405,91,36,353,782,.257,.329,.395,.724,105,1373,75,32,33,27,18,737
MIL,34,28.7,4.39,102,3863,3490,448,898,191,23,103,423,70,27,257,766,.257,.315,.414,.729,101,1444,84,47,46,23,19,652
MIN,39,28.3,4.17,100,3850,3421,417,843,190,12,74,390,51,21,355,831,.246,.321,.374,.695,93,1279,59,33,12,29,14,747
NYM,41,28.9,3.93,101,3906,3443,397,823,181,8,75,381,69,25,359,832,.239,.314,.362,.676,93,1245,66,32,44,28,32,739
NYY,46,32.9,3.95,100,3815,3442,395,866,151,17,85,370,71,19,291,705,.252,.313,.379,.693,93,1306,74,33,18,30,12,709
OAK,39,29.5,4.96,100,3932,3485,496,882,169,20,104,468,56,12,376,702,.253,.329,.403,.731,107,1403,72,32,8,29,20,721
PHI,45,31.0,3.82,101,3902,3528,386,841,153,17,81,367,65,17,291,824,.238,.300,.360,.660,84,1271,50,27,34,21,30,733
PIT,39,27.4,4.19,101,3927,3465,423,893,150,20,90,407,71,26,346,803,.258,.334,.390,.724,104,1353,81,58,38,20,30,770
SDP,43,28.6,2.99,100,3577,3239,299,696,144,20,69,281,56,19,258,803,.215,.275,.336,.611,76,1087,77,22,33,24,12,597
SEA,38,27.6,3.92,101,3761,3438,396,842,156,21,81,377,54,27,241,799,.245,.299,.373,.673,91,1283,54,36,22,23,18,649
SFG,32,28.8,4.00,102,3807,3430,408,843,165,24,91,392,39,19,286,796,.246,.307,.387,.694,99,1329,72,29,30,32,29,670
STL,40,28.8,3.68,101,3791,3385,372,848,186,15,65,357,41,15,288,712,.251,.317,.372,.689,92,1259,93,53,39,26,22,721
TEX,51,28.9,4.05,101,3770,3410,409,884,169,21,71,381,67,41,262,734,.259,.316,.384,.700,93,1308,93,35,30,31,25,664
TOR,47,29.2,4.50,102,3866,3475,459,902,176,16,122,438,49,15,326,724,.260,.326,.425,.751,105,1476,77,28,19,18,13,713
