Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ATL,42,27.9,4.77,162,6293,5614,773,1514,264,28,197,735,83,43,530,1032,.270,.333,.432,.765,96,2425,144,27,69,50,41,1154
BAL,45,31.1,5.82,163,6494,5689,949,1557,299,29,257,914,76,40,645,915,.274,.350,.472,.822,106,2685,134,61,31,67,49,1154
BOS,55,28.4,5.73,162,6545,5756,928,1631,308,31,209,882,91,44,642,1020,.283,.359,.457,.816,104,2628,148,67,33,47,50,1251
CHC,41,29.0,4.77,162,6229,5531,772,1388,267,19,175,725,108,50,523,1090,.251,.320,.401,.721,88,2218,126,61,66,48,48,1078
CHW,44,30.4,5.54,162,6497,5644,898,1586,284,33,195,860,105,41,701,927,.281,.360,.447,.807,108,2521,139,34,56,62,68,1231
CIN,48,29.3,4.80,162,6213,5455,778,1398,259,36,191,733,171,63,604,1134,.256,.331,.422,.753,98,2302,115,34,71,49,47,1116
CLE,44,29.7,5.91,161,6486,5681,952,1665,335,23,218,904,160,50,671,844,.293,.369,.475,.844,113,2700,164,43,34,57,44,1224
COL,44,30.1,5.93,162,6333,5590,961,1607,297,37,221,909,201,66,527,1108,.287,.355,.472,.827,99,2641,118,82,81,52,40,1108
DET,53,27.0,4.83,162,6203,5530,783,1413,257,21,204,741,87,50,546,1268,.256,.323,.420,.743,87,2324,132,29,48,49,26,1040
HOU,43,28.2,4.65,162,6270,5508,753,1445,297,29,129,703,180,63,554,1057,.262,.336,.397,.733,100,2187,115,84,68,55,64,1172
KCR,40,27.2,4.63,161,6229,5542,746,1477,286,38,123,689,195,85,529,943,.267,.332,.398,.731,85,2208,102,43,66,49,36,1117
LAD,40,27.9,4.34,162,6185,5538,703,1396,215,33,150,661,124,40,516,1190,.252,.316,.384,.701,90,2127,112,22,74,35,59,1113
MIL,48,27.8,5.52,162,6434,5662,894,1578,304,40,178,845,101,48,624,986,.279,.353,.441,.794,97,2496,115,53,45,50,35,1198
MIN,38,28.4,5.41,162,6403,5673,877,1633,332,47,118,812,143,53,576,958,.288,.357,.425,.782,97,2413,172,65,20,63,42,1194
NYM,40,27.2,4.60,162,6220,5618,746,1515,267,47,147,697,97,48,445,1069,.270,.324,.412,.737,98,2317,114,33,75,49,54,1124
NYY,48,30.0,5.38,162,6414,5628,871,1621,293,28,162,830,96,46,632,909,.288,.360,.436,.796,100,2456,153,41,41,72,56,1258
OAK,43,28.2,5.31,162,6402,5630,861,1492,283,21,243,823,58,35,640,1114,.265,.344,.452,.796,99,2546,134,58,35,39,36,1175
PHI,54,28.3,4.01,162,6171,5499,650,1405,249,39,132,604,117,41,536,1092,.256,.325,.387,.712,88,2128,116,45,54,37,52,1207
PIT,46,28.8,4.79,162,6336,5665,776,1509,319,33,138,738,126,49,510,989,.266,.329,.407,.736,91,2308,107,40,72,49,46,1181
SDP,43,30.8,4.76,162,6419,5655,771,1499,285,24,147,718,109,55,601,1014,.265,.338,.402,.740,100,2273,146,50,59,52,62,1209
SEA,49,28.6,6.17,161,6518,5668,993,1625,343,19,245,954,90,39,670,1052,.287,.366,.484,.850,114,2741,121,75,46,58,57,1238
SFG,49,28.9,4.64,162,6316,5533,752,1400,245,21,153,707,113,53,615,1189,.253,.331,.388,.719,93,2146,108,48,77,43,62,1198
STL,38,30.7,4.69,162,6177,5502,759,1468,281,31,142,711,149,58,495,1089,.267,.330,.407,.736,94,2237,121,44,88,48,59,1087
TEX,39,29.5,5.69,163,6494,5702,928,1622,323,32,221,890,83,26,660,1041,.284,.358,.469,.827,103,2672,128,31,32,69,51,1253
TOR,40,28.6,4.73,162,6295,5599,766,1451,302,35,177,712,116,38,529,1105,.259,.331,.420,.752,90,2354,120,92,38,37,19,1169
