Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ATL,3.64,,101,3812,3430,368,855,148,15,76,61,20,293,840,.249,.310,.368,.678,.307,1261,77,20,43,25,20,30
BAL,4.05,,100,3820,3420,405,875,181,12,101,55,21,316,689,.256,.325,.404,.730,.292,1383,91,45,19,19,21,33
BOS,4.20,,101,3859,3509,424,900,198,21,100,65,18,278,812,.256,.313,.410,.723,.305,1440,81,21,23,28,10,39
CHC,4.25,,99,3780,3356,421,829,176,15,67,77,14,330,817,.247,.318,.368,.687,.305,1236,62,33,35,25,26,30
CHW,4.51,,102,3943,3473,460,894,174,15,85,56,21,374,727,.257,.334,.390,.724,.300,1353,94,42,22,32,23,44
CIN,3.73,,101,3774,3388,377,800,163,11,102,42,19,296,803,.236,.302,.381,.683,.279,1291,55,36,31,23,18,28
CLE,4.42,,101,3885,3474,446,895,201,20,92,60,29,325,878,.258,.324,.406,.731,.317,1412,79,32,22,32,29,56
COL,5.27,,102,3925,3478,538,970,209,27,116,59,10,340,660,.279,.345,.455,.800,.312,1581,82,32,36,38,20,27
DET,4.30,,98,3715,3374,421,877,189,24,86,66,33,281,731,.260,.319,.407,.726,.306,1372,88,25,9,25,14,34
HOU,4.76,,101,3889,3463,481,925,184,22,88,64,21,329,720,.267,.334,.409,.744,.311,1417,83,40,16,37,20,34
KCR,3.97,,100,3787,3422,397,874,154,18,88,36,17,283,715,.255,.318,.388,.706,.297,1328,64,41,17,24,8,32
LAD,3.73,,103,3839,3473,384,846,164,18,91,60,23,280,860,.244,.304,.380,.684,.297,1319,85,30,33,20,26,38
MIL,4.19,,102,3891,3544,427,886,161,10,113,60,20,266,787,.250,.305,.397,.702,.290,1406,68,25,34,20,11,35
MIN,4.46,,100,3794,3457,446,947,195,23,79,61,11,250,612,.274,.323,.412,.735,.309,1425,83,20,21,45,12,28
NYM,3.80,,101,3883,3476,384,855,162,19,83,52,17,333,809,.246,.316,.375,.691,.297,1304,81,29,29,16,29,38
NYY,4.24,,100,3817,3474,424,882,167,20,109,46,31,251,857,.254,.310,.408,.718,.305,1416,57,44,22,26,17,44
OAK,3.45,,100,3765,3427,345,794,135,5,86,55,12,269,769,.232,.292,.349,.642,.273,1197,82,32,18,19,18,44
PHI,4.44,,101,3955,3489,448,877,184,24,91,71,28,342,785,.251,.323,.396,.720,.298,1382,60,42,56,26,33,35
PIT,4.09,,101,3883,3440,413,863,156,16,88,81,32,312,736,.251,.321,.382,.704,.293,1315,81,57,48,26,31,39
SDP,3.44,,100,3684,3302,344,776,161,12,77,74,24,283,812,.235,.299,.361,.660,.286,1192,66,30,38,29,19,32
SEA,3.37,,101,3722,3354,340,758,129,16,87,54,21,289,808,.226,.291,.352,.643,.270,1180,74,31,20,28,23,23
SFG,3.61,,102,3755,3425,368,828,177,28,75,69,32,249,757,.242,.297,.375,.672,.288,1286,90,28,32,21,22,39
STL,3.60,,101,3789,3386,364,812,160,17,59,31,19,303,774,.240,.308,.349,.657,.292,1183,78,42,33,25,19,36
TEX,5.14,,101,3913,3497,519,996,225,15,102,52,27,326,726,.285,.348,.445,.793,.330,1557,75,35,14,40,24,36
TOR,4.36,,102,3895,3472,445,901,216,23,91,66,18,337,736,.260,.329,.414,.743,.303,1436,76,38,16,32,12,34
