Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ATL,50,27.6,5.00,162,6374,5689,810,1562,328,27,176,781,64,30,534,1149,.275,.339,.435,.774,101,2472,137,49,55,47,43,1205
BAL,49,30.4,4.67,162,6264,5631,756,1529,306,30,142,718,144,42,500,939,.272,.333,.412,.746,95,2321,139,47,38,47,31,1152
BOS,40,30.2,5.35,162,6426,5589,867,1561,352,35,166,829,96,24,689,1042,.279,.362,.444,.806,107,2481,146,64,30,54,54,1291
CHC,47,29.3,4.64,162,6268,5643,752,1530,340,28,151,711,86,33,500,1054,.271,.333,.422,.754,90,2379,127,40,48,37,48,1190
CHW,43,29.5,4.28,162,6103,5441,693,1341,249,20,190,667,78,45,532,1149,.246,.318,.404,.722,86,2200,138,52,41,35,33,1074
CIN,51,29.7,4.83,162,6332,5607,783,1496,293,23,204,747,97,31,536,1113,.267,.335,.436,.772,95,2447,140,66,73,46,51,1170
CLE,41,28.1,5.01,162,6367,5604,811,1504,305,27,178,784,72,41,590,1202,.268,.343,.428,.771,102,2397,114,80,32,59,56,1215
COL,53,27.9,5.28,163,6498,5691,860,1591,313,36,171,823,100,31,622,1152,.280,.354,.437,.791,98,2489,140,58,83,44,51,1251
DET,44,30.8,5.48,162,6364,5757,887,1652,352,50,177,857,103,30,474,1054,.287,.345,.458,.802,108,2635,128,56,31,45,45,1148
HOU,41,31.4,4.46,162,6324,5605,723,1457,293,30,167,700,65,33,547,1043,.260,.330,.412,.742,91,2311,142,55,77,40,40,1181
KCR,45,27.9,4.36,162,6140,5534,706,1447,300,46,102,660,78,44,428,1069,.261,.322,.388,.710,87,2145,151,89,41,47,34,1089
LAD,45,29.7,4.54,162,6282,5614,735,1544,276,35,129,706,137,50,511,864,.275,.337,.406,.743,91,2277,116,41,58,55,41,1200
MIL,40,27.8,4.94,162,6238,5554,801,1455,310,37,231,774,96,32,501,1137,.262,.329,.456,.785,101,2532,112,76,60,47,60,1117
MIN,42,28.4,4.43,162,6161,5522,718,1460,273,36,118,671,112,30,512,839,.264,.330,.391,.721,94,2159,149,48,34,45,41,1121
NYM,49,30.8,4.96,162,6344,5605,804,1543,294,27,177,761,200,46,549,981,.275,.342,.432,.775,101,2422,114,54,77,58,64,1196
NYY,49,30.7,5.98,162,6528,5717,968,1656,326,32,201,929,123,40,637,991,.290,.366,.463,.829,116,2649,138,78,41,54,32,1249
OAK,54,28.9,4.57,162,6365,5577,741,1430,295,16,171,711,52,20,664,1119,.256,.338,.407,.745,101,2270,142,49,18,56,29,1258
PHI,46,28.8,5.51,162,6537,5688,892,1558,326,41,213,850,138,19,641,1205,.274,.354,.458,.812,105,2605,125,90,65,52,74,1295
PIT,46,27.2,4.47,162,6214,5569,724,1463,322,31,148,694,68,30,463,1135,.263,.325,.411,.736,92,2291,130,71,60,51,31,1119
SDP,49,29.9,4.55,163,6326,5612,741,1408,322,31,171,704,55,24,557,1229,.251,.322,.411,.732,97,2305,113,49,64,44,45,1152
SEA,44,29.7,4.90,162,6209,5684,794,1629,284,22,153,754,81,30,389,861,.287,.337,.425,.762,103,2416,154,62,33,40,32,1128
SFG,44,32.6,4.22,162,6213,5538,683,1407,267,37,131,641,119,33,532,907,.254,.322,.387,.708,82,2141,142,39,67,36,74,1141
STL,45,30.3,4.48,162,6211,5529,725,1513,279,13,141,690,56,33,506,909,.274,.337,.405,.743,92,2241,154,54,68,54,47,1167
TEX,50,29.3,5.04,162,6214,5555,816,1460,298,36,179,768,88,25,503,1224,.263,.328,.426,.754,97,2367,129,56,57,42,27,1092
TOR,46,30.2,4.65,162,6197,5536,753,1434,344,24,165,719,57,22,533,1044,.259,.327,.419,.746,95,2321,127,47,33,48,32,1112
